Lambda_240,-240 mv,Lambda_330,-330 mv
351.9139753,33.01964051,350.7741873,30.93398802
352.4058744,33.49984047,351.1007906,31.41498564
352.7271599,34.62429539,351.1034495,31.09325699
353.0550927,34.94442869,351.2607686,32.05764527
353.3803666,35.58629064,351.424735,32.21771192
353.7016521,36.71074556,351.5887014,32.37777857
354.0282554,37.19174318,351.7539972,32.37698089
354.3521998,37.99446946,351.9179636,32.53704754
354.5161662,38.15453611,352.0779416,33.17970716
355.0080654,38.63473606,352.0806006,32.85797852
355.1720318,38.79480271,352.241908,33.33977382
355.4999645,39.11493601,352.4058744,33.49984047
355.823909,39.91766228,352.5671819,33.98163576
356.1478534,40.72038856,353.0604105,34.30097139
356.3078314,41.36304818,353.2243769,34.46103804
356.7970716,42.16497678,353.8709363,36.22735491
357.123675,42.6459744,354.1962102,36.86921686
357.4476194,43.44870068,354.1975396,36.70835254
357.6075974,44.0913603,354.5241429,37.18935016
357.7675754,44.73401992,354.6881093,37.34941681
357.9288829,45.21581522,355.0147127,37.83041444
358.0915198,45.5367462,355.1773496,38.15134541
358.4181232,46.01774382,355.5079413,38.14975006
358.743397,46.65960577,355.9971816,38.95167866
358.906034,46.98053675,356.321126,39.75440493
359.0700004,47.1406034,356.6477293,40.23540256
359.2326373,47.46153437,356.9730032,40.87726451
359.5579112,48.10339632,357.2996065,41.35826213
359.7178892,48.74605594,357.6262098,41.83925976
360.045822,49.06618924,357.9501542,42.64198603
360.2097884,49.22625589,357.9514837,42.48112171
360.5363917,49.70725352,358.2767575,43.12298366
361.0243025,50.67004644,358.6033609,43.60398128
361.3495763,51.31190839,358.7659978,43.92491226
361.5095544,51.95456802,359.2539086,44.88770518
361.6668735,52.91895629,359.4165455,45.20863615
361.8281809,53.40075159,359.5765236,45.85129578
362.1561137,53.72088489,359.7404899,46.01136243
362.3160918,54.36354451,359.9031269,46.3322934
362.8066615,55.00460879,360.0617754,47.13581735
363.1332648,55.48560641,360.3843904,48.09940795
363.4585387,56.12746836,360.3870493,47.7776793
363.6171872,56.93099231,360.7136526,48.25867692
363.7784947,57.41278761,360.8749601,48.74047222
364.1064275,57.73292091,361.2015634,49.22146985
364.4303719,58.53564718,361.3642004,49.54240082
364.7556458,59.17750913,361.3655298,49.3815365
365.0795902,59.9802354,361.5255079,50.02419612
365.2382387,60.78375935,361.5268373,49.8633318
365.5648421,61.26475698,361.8481228,50.98778672
365.8887865,62.06748325,361.8507817,50.66605807
366.2140603,62.7093452,362.1747261,51.46878434
366.5380048,63.51207147,362.3386925,51.62885099
366.6993122,63.99386677,362.5026589,51.78891764
367.0232566,64.79659304,363.1585245,52.42918425
367.1845641,65.27838834,363.3185025,53.07184387
367.6738044,66.08031694,363.4824689,53.23191052
367.9990782,66.72217889,363.9717092,54.03383912
368.489648,67.36324317,364.1330166,54.51563442
368.8149218,68.00510512,364.45962,54.99663204
369.3041621,68.80703372,364.7809054,56.12108696
369.4641401,69.44969334,364.7862233,55.47762967
369.789414,70.09155529,365.4301237,57.56567519
370.1146878,70.73341724,365.9180345,58.52846811
370.6025986,71.69621016,366.7325487,59.97225866
371.0931684,72.33727444,366.8925267,60.61491828
371.4184422,72.97913638,367.2204595,60.93505158
371.5797497,73.46093168,367.5470628,61.41604921
372.0703194,74.10199596,367.8710072,62.21877548
372.2356153,74.10119828,368.3615769,62.85983976
372.5635481,74.42133158,368.6881802,63.34083738
