Lambda_oxidized,oxidized,Lambda_reduced,reduced
418.0056624,553.01612,437.2075703,277.5468041
418.1857369,548.0245371,437.7439678,277.55063
418.5443555,544.0328011,438.2803653,277.554456
418.5458858,538.0413712,438.8167627,277.5582819
418.9045044,534.0496353,439.5319594,277.5633832
419.0843238,530.056624,439.8895577,277.5659338
419.2646534,524.0664694,440.6042442,279.5681783
419.623527,519.0761618,441.3189308,281.5704229
419.8036015,514.0845789,442.9276131,283.579044
419.983931,508.0944243,443.1061572,284.578891
420.1637504,504.101413,443.6410243,290.5741468
420.3438249,499.1098301,443.9981125,292.5738407
420.5236443,495.1168189,444.8915982,294.5773606
420.5254298,488.1268173,445.4272305,297.5769015
420.526195,485.1311024,445.7845738,298.5780238
420.7065245,479.1409478,446.6775494,302.5786869
420.8863439,475.1479365,447.57078,305.5807785
421.4245269,468.161761,448.6425547,309.5827169
421.9621997,463.1727287,449.3572412,311.5849615
422.3210733,458.1824211,450.0719278,313.587206
422.5011478,453.1908381,450.7866143,315.5894506
422.6812223,448.1992552,451.858389,319.5913891
422.8615518,442.2091006,452.9296536,325.5904708
423.3992246,437.2200684,453.8231393,327.5939907
423.5795541,431.2299138,454.5378258,329.5962353
423.5810845,425.2384839,455.2522573,332.5970515
423.761159,420.246901,456.3242871,335.6004183
424.1202877,414.2580217,456.8601745,337.6013875
424.4794164,408.2691425,457.7534051,340.6034791
424.6594909,403.2775596,458.6463807,344.6041422
424.8398204,397.287405,459.7184104,347.6075091
425.3774932,392.2983727,460.6121512,348.6124573
425.7363669,387.3080651,462.0415243,352.6169464
425.9166964,381.3179105,462.7562108,354.6191909
426.0965158,377.3248993,463.8282406,357.6225578
426.0975361,373.3306127,464.7212161,361.6232209
426.0990665,367.3391828,465.6136816,367.6210274
426.0990665,367.3391828,466.3276029,372.6189869
426.2768454,371.3347447,467.3991226,377.619497
426.2781207,366.3418864,468.2918431,382.6187318
426.2788859,363.3461715,469.1850737,385.6208233
426.4579401,362.3488752,470.2573586,387.6256185
426.6372494,360.3530072,471.5084426,389.631689
426.6375045,359.3544355,472.7600367,389.6406162
426.6382697,356.3587206,473.6540325,389.6469928
426.8180891,352.3657093,474.906902,384.6630618
426.9973984,350.3698414,475.0859562,383.6657654
427.1764526,349.372545,476.1595164,380.6777024
427.1772178,346.3768301,477.5929705,368.7050451
427.3565271,344.3809621,477.7722798,366.7091772
427.5363465,340.3879508,478.3094424,363.7172882
427.5381319,333.3979493,478.8466051,360.7253992
427.7169311,333.3992246,479.2047136,358.7308065
427.7174412,331.4020813,479.7418762,355.7389175
427.8970056,328.4076417,480.6371474,350.7524359
428.0763148,326.4117737,481.1745651,346.7619752
428.076825,324.4146304,481.712748,339.7757996
428.2558792,323.4173341,482.2501658,335.785339
428.2563893,321.4201908,482.6085293,332.7921747
428.2581748,314.4301893,483.145947,328.801714
428.2597051,308.4387594,483.6836199,323.8126817
428.2599602,307.4401877,484.2212927,318.8236494
428.2604703,305.4430444,484.5801663,313.8333418
428.2612355,302.4473295,484.7597307,310.8389022
428.2614906,301.4487578,,
428.437229,313.4328929,,
428.4407999,299.4528899,,
428.6203642,296.4584502,,
428.7950824,312.4368719,,
428.7999286,293.4640106,,
428.8001836,292.465439,,
428.8009488,289.469724,,
428.9802581,287.473856,,
428.9805132,286.4752844,,
429.3393868,281.4849768,,
429.3404071,277.4906902,,
429.3409172,275.4935469,,
429.5204816,272.4991073,,
429.5207366,271.5005356,,
429.5212467,269.5033923,,
429.5217569,267.506249,,
429.522267,265.5091057,,
429.8808856,261.5173698,,
430.0604499,258.5229302,,
430.060705,257.5243585,,
430.0614702,254.5286436,,
430.0624904,250.534357,,
430.0627455,249.5357853,,
430.0630006,248.5372137,,
430.0640208,244.5429271,,
430.2433301,242.5470591,,
430.2435852,241.5484875,,
430.4228945,239.5526195,,
430.4234046,237.5554762,,
430.6029689,234.5610366,,
430.7832985,228.570882,,
430.9631179,224.5778707,,
430.963628,222.5807274,,
431.1437025,217.5891445,,
431.3230118,215.5932765,,
431.6821405,209.6043973,,
431.8614498,207.6085293,,
431.8619599,205.611386,,
432.0415243,202.6169464,,
432.0420344,200.6198031,,
432.4014182,193.6323522,,
432.5807274,191.6364842,,
433.1184002,186.6474519,,
433.2974545,185.6501556,,
433.4782941,177.6628577,,
433.6586237,171.6727032,,
434.0167321,169.6781105,,
434.3758608,163.6892312,,
434.5554252,160.6947916,,
434.7347345,158.6989236,,
434.9140438,156.7030557,,
435.0938632,152.7100444,,
435.2729174,151.712748,,
435.2734275,149.7156048,,
435.2736826,148.7170331,,
435.6320461,145.7238688,,
435.8108453,145.7251441,,
435.9898995,144.7278478,,
435.9904096,142.7307045,,
436.1697189,140.7348365,,
436.3495383,136.7418252,,
436.3500485,134.7446819,,
436.5293578,132.748814,,
436.7089221,129.7543743,,
436.8879763,128.757078,,
437.0672856,126.76121,,
437.247105,122.7681987,,
437.4261593,121.7709024,,
437.6052135,120.7736061,,
437.9630669,119.7775851,,
438.1421211,118.7802887,,
438.5012498,112.7914095,,
438.5015049,111.7928378,,
438.6808142,109.7969699,,
438.8596133,109.7982452,,
439.218742,103.8093659,,
439.2192522,101.8122226,,
439.5773606,99.81762995,,
439.7564148,98.82033362,,
440.8302301,94.83369892,,
441.0090292,94.83497424,,
441.5459368,92.84165689,,
441.724736,92.8429322,,
441.9037902,91.84563587,,
442.4404428,90.85089017,,
442.9776055,87.85900117,,
443.6933122,85.86695914,,
444.5875631,84.87476407,,
445.3032699,82.88272203,,
445.8399225,81.88797633,,
447.0917717,80.89833189,,
447.9860225,79.90613682,,
448.1648217,79.90741213,,
448.8800184,79.91251339,,
449.9523032,81.91730858,,
451.3826965,81.9275111,,
452.4554915,81.93516299,,
453.5277764,83.93995817,,
454.6003163,84.94618171,,
455.6731113,84.9538336,,
456.2092537,85.95623119,,
457.2817936,86.96245473,,
458.1757894,86.9688313,,
459.4266184,89.97347345,,
459.9630159,89.97729939,,
461.21461,89.9862266,,
461.5722083,89.98877723,,
461.7507524,90.98862419,,
461.9295516,90.98989951,,
462.465694,91.9922971,,
463.1806356,92.99597,,
464.2529205,95.00076519,,
465.3254604,96.00698873,,
466.2192011,97.01193695,,
466.9341427,98.01560986,,
467.8278835,99.02055808,,
468.3640259,100.0229557,,
469.0789675,101.0266286,,
470.1512524,103.0314238,,
470.866449,103.036525,,
471.4028465,103.040351,,
472.4751314,105.0451462,,
473.5476713,106.0513697,,
474.6204663,106.0590216,,
474.7992654,106.0602969,,
475.6937714,104.0695302,,
476.7665663,104.0771821,,
476.9453655,104.0784574,,
477.1241647,104.0797327,,
477.6610723,102.0864153,,
478.5553232,101.0942203,,
479.2707749,100.1007499,,
480.8799674,100.1122277,,
481.0587665,100.113503,,
482.4894149,99.12513391,,
483.0258124,99.12895985,,
484.0988624,98.1380401,,
484.9931133,97.14584502,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,489.0129223,64.04704506
,,489.0155812,63.72531641
,,489.1875244,62.92019711
,,489.3568086,62.43680647
,,489.5300812,61.47082285
,,489.5327401,61.1490942
,,489.7046832,60.3439749
,,489.8766264,59.5388556
,,490.04724,58.89460063
,,490.2138654,58.73293863
,,490.2191832,58.08948133
,,490.2218421,57.76775269
,,490.3897969,57.44522636
,,490.56174,56.64010707
,,490.7310242,56.15671642
,,490.898979,55.83419009
,,490.9016379,55.51246145
,,491.0682632,55.35079945
,,491.2415358,54.38481583
,,491.4081611,54.22315383
,,491.41082,53.90142518
,,491.5787748,53.57889885
,,491.5801042,53.41803453
,,491.7507179,52.77377956
,,491.9186727,52.45125324
,,492.0892863,51.80699826
,,492.0946042,51.16354097
,,492.2652179,50.51928599
,,492.7717411,49.22997837
,,492.9410253,48.74658773
,,493.4475485,47.45728011
,,493.4541958,46.65295849
,,493.6221505,46.33043216
,,493.6314567,45.20438189
,,493.8073882,43.91666962
,,494.149945,42.46729535
,,494.487184,41.66137838
,,494.9963662,40.05034211
,,495.3322757,39.40528947
,,495.6721736,38.27764385
,,495.6774914,37.63418655
,,495.6814798,37.15159358
,,495.850764,36.66820293
,,496.0200482,36.18481228
,,496.188003,35.86228596
,,496.3546283,35.70062396
,,496.6905378,35.05557131
,,496.8611515,34.41131634
,,497.0291063,34.08879002
,,497.197061,33.76626369
,,497.3703336,32.80028007
,,497.3756514,32.15682277
,,497.3836282,31.19163683
,,497.7208672,30.38571986
,,498.2287198,28.93554791
,,498.3953451,28.77388591
,,498.7312547,28.12883327
,,498.89788,27.96717127
,,498.8992094,27.80630695
,,499.0684936,27.3229163
,,499.0711526,27.00118765
,,499.2377779,26.83952565
,,499.4070621,26.356135
,,499.7443011,25.55021803
,,499.7456305,25.38935371
