Lambda_230,-230 mv,Lambda_320,-320 mv
353.3753004,1.265306122,353.2155549,0.897959184
353.7049447,1.387755102,354.2065184,1.142857143
354.3682946,1.387755102,355.3653501,1.265306122
354.6999695,1.387755102,355.8628626,1.265306122
355.197482,1.387755102,357.0237249,1.265306122
355.6949944,1.387755102,357.8529123,1.265306122
356.1925069,1.387755102,358.5162622,1.265306122
356.5241818,1.387755102,359.6771246,1.265306122
357.0216942,1.387755102,360.3404745,1.265306122
357.5192067,1.387755102,360.8379869,1.265306122
358.3463634,1.510204082,361.5013369,1.265306122
359.1755508,1.510204082,362.826006,1.387755102
360.168545,1.632653061,363.8210309,1.387755102
361.1635699,1.632653061,364.8160558,1.387755102
362.1585948,1.632653061,365.6452432,1.387755102
363.3194571,1.632653061,366.4744306,1.387755102
364.314482,1.632653061,367.4674248,1.510204082
365.1436694,1.632653061,368.6282871,1.510204082
366.965851,1.755102041,369.623312,1.510204082
367.6271703,1.87755102,370.4504687,1.632653061
368.786002,2,371.443463,1.755102041
369.9468643,2,372.2726504,1.755102041
370.6081836,2.12244898,373.0998071,1.87755102
371.6011778,2.244897959,374.4265069,1.87755102
372.4283345,2.367346939,375.7532068,1.87755102
373.0896538,2.489795918,376.7482316,1.87755102
373.750973,2.612244898,377.577419,1.87755102
373.9168105,2.612244898,378.9020882,2
374.7459979,2.612244898,379.7292449,2.12244898
375.5731546,2.734693878,380.7242698,2.12244898
376.402342,2.734693878,382.0509696,2.12244898
377.3973669,2.734693878,382.7122889,2.244897959
378.7220361,2.857142857,383.7073138,2.244897959
379.5491928,2.979591837,384.368633,2.367346939
380.5442177,2.979591837,385.5294954,2.367346939
381.3713744,3.102040816,386.0249772,2.489795918
382.0326937,3.224489796,387.351677,2.489795918
382.8578197,3.469387755,388.0150269,2.489795918
383.3553322,3.469387755,388.8421836,2.612244898
384.0166514,3.591836735,389.8372085,2.612244898
384.8458388,3.591836735,390.5005584,2.612244898
385.6729956,3.714285714,391.4955833,2.612244898
386.1684773,3.836734694,392.3247707,2.612244898
386.9976647,3.836734694,393.1519274,2.734693878
387.327309,3.959183673,393.9790842,2.857142857
387.658984,3.959183673,394.9700477,3.102040816
388.6519782,4.081632653,395.7951738,3.346938776
389.4791349,4.204081633,396.6223305,3.469387755
389.9766474,4.204081633,397.7771009,3.836734694
391.1354791,4.326530612,398.6062883,3.836734694
392.1305039,4.326530612,399.5972518,4.081632653
393.2913663,4.326530612,400.4244086,4.204081633
395.613091,4.326530612,401.4194334,4.204081633
396.2764409,4.326530612,401.9149152,4.326530612
396.7739534,4.326530612,403.0737469,4.448979592
397.7669476,4.448979592,403.898873,4.693877551
398.0986225,4.448979592,404.8898365,4.93877551
398.4302975,4.448979592,405.7169933,5.06122449
399.0916167,4.571428571,406.54415,5.183673469
399.5891292,4.571428571,407.3713067,5.306122449
400.915829,4.571428571,408.3622703,5.551020408
401.7450164,4.571428571,409.1873964,5.795918367
402.7380106,4.693877551,410.1763292,6.163265306
403.898873,4.693877551,411.0014553,6.408163265
404.8938979,4.693877551,411.9883575,6.897959184
405.7230853,4.693877551,412.8114529,7.265306122
406.3864352,4.693877551,413.4707415,7.510204082
406.8819169,4.816326531,414.4596744,7.87755102
407.8769418,4.816326531,415.6144448,8.244897959
408.8719667,4.816326531,416.1099266,8.367346939
409.8669916,4.816326531,416.2717027,8.612244898
410.696179,4.816326531,416.4355095,8.734693878
411.5253664,4.816326531,416.7651538,8.857142857
412.0228788,4.816326531,417.9199242,9.224489796
412.8520662,4.816326531,418.2455072,9.591836735
413.5154161,4.816326531,419.23444,9.959183673
414.3446035,4.816326531,419.8937286,10.20408163
414.6742478,4.93877551,420.0575355,10.32653061
415.3375977,4.93877551,421.0464683,10.69387755
415.998917,5.06122449,421.5399195,10.93877551
416.6602362,5.183673469,421.7037263,11.06122449
417.8251599,4.93877551,422.3630149,11.30612245
418.3226724,4.93877551,423.0202728,11.67346939
418.6543473,4.93877551,423.1840796,11.79591837
418.9860223,4.93877551,423.5137239,11.91836735
418.9860223,4.93877551,424.0031137,12.40816327
420.1468846,4.93877551,424.6603716,12.7755102
420.4785596,4.93877551,425.3176295,13.14285714
420.976072,4.93877551,425.6452432,13.3877551
421.6394219,4.93877551,426.1407249,13.51020408
422.3027719,4.93877551,426.4703692,13.63265306
423.2937354,5.183673469,426.6321454,13.87755102
423.9550547,5.306122449,427.2873727,14.36734694
424.9480489,5.428571429,427.7808238,14.6122449
425.7772363,5.428571429,427.9425999,14.85714286
425.9430737,5.428571429,428.5978272,15.34693878
426.9380986,5.428571429,429.0892476,15.71428571
427.6014485,5.428571429,429.5766068,16.32653061
428.7602802,5.551020408,429.9062511,16.44897959
429.4236301,5.551020408,430.8870613,17.30612245
430.2528175,5.551020408,431.2126443,17.67346939
431.2458118,5.673469388,431.7060954,17.91836735
432.4005821,6.040816327,432.0316783,18.28571429
433.389515,6.408163265,432.1934545,18.53061224
434.2166717,6.530612245,432.5230988,18.65306122
434.7121535,6.653061224,432.8507124,18.89795918
435.5372796,6.897959184,433.6697465,19.51020408
436.6940806,7.142857143,433.8335533,19.63265306
438.1845873,7.265306122,434.161167,19.87755102
438.8438759,7.510204082,434.6525874,20.24489796
438.8459065,7.387755102,434.9781704,20.6122449
439.1735202,7.632653061,435.1419772,20.73469388
440.1644837,7.87755102,435.305784,20.85714286
440.3282905,8,435.7992351,21.10204082
440.9875791,8.244897959,436.2886249,21.59183673
441.9785427,8.489795918,436.775984,22.20408163
442.1443801,8.489795918,437.4291806,22.81632653
442.308187,8.612244898,437.9165398,23.42857143
442.4699631,8.857142857,438.5616137,24.53061224
442.9654449,8.979591837,438.8892273,24.7755102
443.458896,9.224489796,439.2188716,24.89795918
443.9523471,9.469387755,439.3725251,25.63265306
444.7774732,9.714285714,439.8598843,26.24489796
445.4367618,9.959183673,440.0236911,26.36734694
446.0940197,10.32653061,440.3533354,26.48979592
446.9191458,10.57142857,440.5171422,26.6122449
447.4125969,10.81632653,440.680949,26.73469388
448.0718855,11.06122449,441.0085626,26.97959184
449.2225945,11.67346939,441.1683081,27.34693878
449.3864013,11.79591837,441.4857684,28.20408163
449.7099536,12.28571429,441.8093207,28.69387755
450.2013741,12.65306122,442.4604867,29.42857143
450.5310184,12.7755102,442.6141402,30.16326531
451.0224388,13.14285714,442.9376925,30.65306122
451.6776661,13.63265306,443.2632755,31.02040816
451.8414729,13.75510204,444.4119538,31.75510204
452.666599,14,444.4119538,31.75510204
452.9942126,14.24489796,444.4119538,31.75510204
453.4856331,14.6122449,444.57373,32
454.3087285,14.97959184,444.7314448,32.48979592
454.9680171,15.2244898,444.893221,32.73469388
455.1318239,15.34693878,445.2167733,33.2244898
455.625275,15.59183673,445.5423562,33.59183673
456.775984,16.20408163,445.8638779,34.20408163
457.2653738,16.69387755,446.0215927,34.69387755
457.5950181,16.81632653,446.1833689,34.93877551
458.0884692,17.06122449,446.345145,35.18367347
458.9054726,17.79591837,446.5028599,35.67346939
459.0672488,18.04081633,446.6605747,36.16326531
459.3968931,18.16326531,446.9881883,36.40816327
460.385826,18.53061224,447.3158019,36.65306122
460.8792771,18.7755102,447.6413849,37.02040816
461.0430839,18.89795918,447.9629066,37.63265306
461.2068907,19.02040816,448.122652,38
461.6983112,19.3877551,448.6120418,38.48979592
462.0299861,19.3877551,448.9335635,39.10204082
462.1937929,19.51020408,449.2591464,39.46938776
462.3575998,19.63265306,449.5826988,39.95918367
