Lambda_250,-250 mv,Lambda_330,-330 mv
350.7493202,26.04831625,350.8957331,21.48023426
351.0018825,26.41837482,351.0217528,21.72699226
351.2554905,26.54151851,351.1482953,21.85029283
351.7616607,27.03472077,351.1482953,21.85029283
352.0147459,27.2813219,351.5294917,21.84982221
352.3922819,28.14505334,351.9101652,21.97280904
352.3928049,28.0215959,352.2908387,22.09579586
352.6443213,28.63856934,352.5444468,22.21893955
352.8968835,29.0086279,352.6704664,22.46569755
353.1494457,29.37868647,352.9225058,22.95921355
353.2754654,29.62544447,353.0490483,23.08251412
353.4020079,29.74874503,353.3016105,23.45257268
353.5285505,29.8720456,353.6807153,23.94593181
353.6545702,30.1188036,353.9338005,24.19253294
353.779544,30.61247647,354.060343,24.31583351
354.0315834,31.10599247,354.1858398,24.68604894
354.0321063,30.98253503,354.5665133,24.80903577
354.2841456,31.47605104,354.9456181,25.3023949
354.5372307,31.72265216,355.4507425,26.04251203
354.78927,32.21616817,356.0824095,26.90592972
354.9152897,32.46292617,356.0834553,26.65901485
355.1662832,33.20335704,356.4620372,27.27583142
355.4183225,33.69687304,356.8421878,27.52227567
355.5443422,33.94363104,357.0957959,27.64541937
355.7969044,34.3136896,357.6014432,28.26207906
356.0494666,34.68374817,357.8534825,28.75559506
356.3020289,35.05380673,358.2331102,29.12549676
356.4285714,35.1771073,358.612215,29.61885589
356.555114,35.30040786,358.9923656,29.86530015
356.6800878,35.79408074,359.2444049,30.35881615
356.933173,36.04068187,359.4974901,30.60541728
357.1857352,36.41074043,359.8776407,30.85186154
357.3122778,36.534041,360.2567455,31.34522067
357.4388203,36.65734156,360.3827651,31.59197867
357.6919055,36.90394269,360.6363731,31.71512236
357.9439448,37.39745869,360.7629157,31.83842292
357.9444677,37.27400125,361.0165237,31.96156662
358.196507,37.76751726,361.3956285,32.45492575
358.3230496,37.89081782,361.6476679,32.94844175
358.5761347,38.13741895,361.8997072,33.44195775
358.7032002,38.13726208,362.4058774,33.93516001
358.9562853,38.38386321,362.4064003,33.81170257
359.0828279,38.50716377,362.6594855,34.0583037
359.3353901,38.87722234,362.7855051,34.3050617
359.4619327,39.0005229,362.9115248,34.5518197
359.8415603,39.3704246,363.2911525,34.9217214
360.2206651,39.86378373,363.6707802,35.29162309
360.4732274,40.23384229,363.9243882,35.41476679
360.8528551,40.60374399,364.0493621,35.90843966
360.9788747,40.85050199,364.4284668,36.40179879
361.1043715,41.22071742,364.5550094,36.52509935
361.3569337,41.59077599,364.8080945,36.77170048
361.4829534,41.83753399,364.9335913,37.14191592
361.6094959,41.96083455,365.1856306,37.63543192
361.7355156,42.20759255,365.3116503,37.88218992
361.8620581,42.33089312,365.4381928,38.00549048
361.9891236,42.33073625,365.8167747,38.62230705
362.1146204,42.70095168,366.0688141,39.11582305
362.24064,42.94770968,366.3213763,39.48588161
362.3671826,43.07101025,366.5739385,39.85594018
362.4932023,43.31776825,366.8259778,40.34945618
362.6181761,43.81144112,366.9519975,40.59621418
362.7441958,44.05819912,367.2050826,40.84281531
362.9972809,44.30480025,367.5841874,41.33617444
363.1227777,44.67501569,367.8372725,41.58277557
363.3753399,45.04507425,368.0893119,42.07629157
363.5018825,45.16837482,368.2148086,42.44650701
363.7544447,45.53843338,368.5944363,42.8164087
363.8799414,45.90864882,368.9735411,43.30976783
364.1319808,46.40216482,369.2255804,43.80328383
364.3834972,47.01913826,369.3510772,44.17349927
364.3840201,46.89568082,369.4765739,44.5437147
364.6365823,47.26573939,369.7286133,45.0372307
364.8891445,47.63579795,369.85411,45.40744614
365.0146413,48.00601339,370.1056264,46.02441958
365.1411839,48.12931395,370.4852541,46.39432127
365.6452625,49.11634595,370.8643589,46.8876804
365.7718051,49.23964652,370.9898557,47.25789584
365.7718051,49.23964652,371.3689605,47.75125497
366.1493411,50.10337795,371.6215227,48.12131353
366.274315,50.59705083,371.8740849,48.4913721
366.6539427,50.96695252,372.2526668,49.10818866
366.7804853,51.09025309,372.5057519,49.35478979
367.0330475,51.46031165,372.7577913,49.84830579
367.1585442,51.83052709,372.8822422,50.4654361
367.2850868,51.95382765,373.1342815,50.9589521
367.4100607,52.44750052,373.3873667,51.20555323
367.4105836,52.32404309,373.5133863,51.45231123
367.5366032,52.57080109,373.7669944,51.57545493
367.6621,52.94101652,374.0195566,51.94551349
367.9130935,53.6814474,374.2726417,52.19211462
368.0375444,54.2985777,374.6522694,52.56201631
368.2901067,54.66863627,374.9048316,52.93207488
368.542146,55.16215227,375.2839364,53.42543401
368.7936624,55.77912571,375.5364986,53.79549257
369.0451788,56.39609914,375.788538,54.28900858
369.0457017,56.27264171,375.9156034,54.2888517
369.1717214,56.51939971,376.2941853,54.90566827
369.2987869,56.51924284,376.2952311,54.6587534
369.4248065,56.76600084,376.4207279,55.02896883
369.6768458,57.25951684,376.5472704,55.1522694
369.929931,57.50611797,376.673813,55.27556996
370.0554277,57.8763334,376.8003556,55.39887053
370.30799,58.24639197,376.9253294,55.8925434
370.3090358,57.9994771,377.0523949,55.89238653
370.6860489,58.98666597,377.1784146,56.13914453
370.8115457,59.35688141,377.3049571,56.2624451
370.8120686,59.23342397,377.8111274,56.75564735
371.1906505,59.85024054,378.0631667,57.24916335
371.5692324,60.4670571,378.4427944,57.61906505
371.9483372,60.96041623,378.8213763,58.23588161
372.4529387,61.8239908,379.0728927,58.85285505
372.5789584,62.0707488,379.3259778,59.09945618
372.9575403,62.68756536,379.4509517,59.59312905
373.0825141,63.18123823,379.7019452,60.33355992
373.3340305,63.79821167,379.9534616,60.95053336
373.3350763,63.5512968,380.3325664,61.44389249
373.5860699,64.29172767,380.7111483,62.06070906
373.8386321,64.66178624,381.0886844,62.92444049
374.0901485,65.27875967,381.5943317,63.54110019
374.4687304,65.89557624,381.7208743,63.66440075
374.7202468,66.51254968,381.9729136,64.15791675
374.7212926,66.2656348,382.3520184,64.65127588
374.8467894,66.63585024,382.7300774,65.39154988
374.9722861,67.00606568,383.1097051,65.76145158
374.9733319,66.75915081,383.4888099,66.25481071
375.2253713,67.25266681,383.8684376,66.6247124
375.4784564,67.49926794,384.2464965,67.3649864
375.7310186,67.8693265,384.4995817,67.61158753
375.9841037,68.11592763,384.6256013,67.85834553
376.3637314,68.48582932,384.7495294,68.59893328
376.8688559,69.22594645,384.7510981,68.22856097
