Animal,Error,Strategy,Region,I1,I2,Abs[Error],"Avg[I1,I2]",Relative Error
37,-20.0929723,Cata,pm5,3973.869175,3993.9621473,20.092972297,3983.9156611,0.0050435235
37,-84.26848112,Cata,pm4,8513.6635123,8597.9319934,84.268481119,8555.7977529,0.0098492839
37,-51.87634536,Cata,pm3,6909.736151,6961.6124963,51.87634536,6935.6743236,0.0074796397
37,-41.1534069,Cata,postPM3,3631.4664734,3672.6198803,41.153406905,3652.0431768,0.0112685981
37,-52.05398348,Cata,medialAxis,6390.0155232,6442.0695067,52.053983483,6416.0425149,0.0081130983
37,-50.32978181,Cata,wholePharynx,6207.9156585,6258.2454403,50.329781813,6233.0805494,0.008074624
38,-62.46344083,Cata,prePM7,4316.0679249,4378.5313658,62.463440829,4347.2996453,0.0143683311
38,-35.7869185,Cata,pm7,10517.737695,10553.524613,35.786918496,10535.631154,0.0033967513
38,0.7622322998,Cata,pm6,7040.0377616,7039.2755293,0.7622322998,7039.6566455,0.0001082769
38,-19.79301776,Cata,pm5,3981.0605963,4000.853614,19.793017764,3990.9571052,0.0049594664
38,-64.60469441,Cata,pm4,8479.6549545,8544.2596489,64.604694414,8511.9573017,0.0075898753
38,3.2153560823,Cata,pm3,6909.104921,6905.8895649,3.2153560823,6907.4972429,0.0004654879
38,11.471509112,Cata,postPM3,3781.3342617,3769.8627526,11.471509112,3775.5985072,0.0030383286
38,-18.16956996,Cata,medialAxis,6389.7247972,6407.8943671,18.169569962,6398.8095821,0.0028395235
38,-17.19477009,Cata,wholePharynx,6205.7160227,6222.9107928,17.194770091,6214.3134077,0.0027669622
39,13.277648962,Cata,prePM7,4569.395691,4556.118042,13.277648962,4562.7568665,0.0029100058
39,57.279321379,Cata,pm7,10537.881483,10480.602161,57.279321379,10509.241822,0.0054503762
39,6.1067037269,Cata,pm6,6992.261644,6986.1549403,6.1067037269,6989.2082921,0.0008737333
39,25.387954252,Cata,pm5,3981.4384802,3956.050526,25.387954252,3968.7445031,0.0063969737
39,-23.5091918,Cata,pm4,8488.8258892,8512.335081,23.509191803,8500.5804851,0.0027655984
