Animal,Error,Strategy,Region,I1,I2,Abs[Error],"Avg[I1,I2]",Relative Error
3,-70.1745757,1 Midlines,pm7,10564.824634,10634.999209,70.174575703,10599.911922,0.006620298
3,-72.3481674,1 Midlines,pm6,6978.4328944,7050.7810618,72.3481674,7014.6069781,0.0103139303
3,-23.29640296,1 Midlines,pm5,3990.9103962,4014.2067992,23.296402964,4002.5585977,0.0058203777
3,-124.8919756,1 Midlines,pm4,8532.0578477,8656.9498233,124.89197556,8594.5038355,0.0145316097
3,-28.49164587,1 Midlines,pm3,6993.2793301,7021.770976,28.491645865,7007.525153,0.0040658642
3,-41.21241765,1 Midlines,postPM3,3679.9832816,3721.1956992,41.212417654,3700.5894904,0.0111367169
3,-47.42391059,1 Midlines,medialAxis,6431.096861,6478.5207716,47.423910589,6454.8088163,0.0073470667
3,-47.26159015,1 Midlines,wholePharynx,6243.6522474,6290.9138375,47.26159015,6267.2830425,0.0075410014
4,-83.14579845,1 Midlines,prePM7,4543.4211371,4626.5669355,83.145798446,4584.9940363,0.0181343308
4,-1.744343757,1 Midlines,pm7,10648.597196,10650.34154,1.7443437567,10649.469368,0.0001637963
4,-82.67339587,1 Midlines,pm6,7003.9981468,7086.6715426,82.673395866,7045.3348447,0.0117344878
4,-53.94101965,1 Midlines,pm5,4006.6569952,4060.5980149,53.941019654,4033.627505,0.0133728312
4,-82.37139096,1 Midlines,pm4,8534.8192879,8617.1906789,82.371390964,8576.0049834,0.0096048674
4,-52.08468486,1 Midlines,pm3,7006.5175728,7058.6022577,52.08468486,7032.5599152,0.0074062199
4,-26.72126546,1 Midlines,postPM3,3727.4803462,3754.2016116,26.721265459,3740.8409789,0.0071431172
4,-59.96975974,1 Midlines,medialAxis,6450.0056599,6509.9754196,59.96975974,6479.9905397,0.0092546061
4,-57.02755017,1 Midlines,wholePharynx,6265.3986889,6322.4262391,57.027550172,6293.912464,0.0090607473
5,-20.04236021,1 Midlines,prePM7,4468.6587522,4488.7011124,20.042360208,4478.6799323,0.0044750597
5,50.21918177,1 Midlines,pm7,10650.599596,10600.380415,50.21918177,10625.490005,0.0047262933
5,21.798646986,1 Midlines,pm6,7011.1150199,6989.3163729,21.798646986,7000.2156964,0.0031139965
5,-11.07213208,1 Midlines,pm5,3997.0615617,4008.1336937,11.072132078,4002.5976277,0.0027662366
5,18.151784473,1 Midlines,pm4,8650.7985806,8632.6467961,18.151784473,8641.7226883,0.0021004822
5,4.3803467603,1 Midlines,pm3,7016.4506258,7012.070279,4.3803467603,7014.2604524,0.0006244916
5,-79.67183174,1 Midlines,postPM3,3769.8926397,3849.5644714,79.671831737,3809.7285556,0.0209127319
5,0.9716143407,1 Midlines,medialAxis,6465.2141397,6464.2425254,0.9716143407,6464.7283325,0.0001502947
5,-1.314243898,1 Midlines,wholePharynx,6277.7895213,6279.1037652,1.3142438983,6278.4466433,0.0002093263
6,-43.46066498,1 Midlines,prePM7,4590.6095674,4634.0702324,43.460664979,4612.3398999,0.0094226935
6,-10.49995538,1 Midlines,pm7,10592.015975,10602.515931,10.499955382,10597.265953,0.0009908174
6,12.792756195,1 Midlines,pm6,6921.7050623,6908.9123061,12.792756195,6915.3086842,0.0018499183
6,-21.53072761,1 Midlines,pm5,3987.4241056,4008.9548332,21.530727606,3998.1894694,0.0053851194
6,-54.96503063,1 Midlines,pm4,8574.4494066,8629.4144373,54.965030628,8601.9319219,0.0063898472
6,-22.91787025,1 Midlines,pm3,6971.4428708,6994.360741,22.917870246,6982.9018059,0.0032819981
6,-7.703210707,1 Midlines,postPM3,3769.2057844,3776.9089951,7.7032107074,3773.0573897,0.0020416362
6,-25.31117478,1 Midlines,medialAxis,6435.2295304,6460.5407052,25.311174777,6447.8851178,0.0039255003
6,-23.77417428,1 Midlines,wholePharynx,6250.3766769,6274.1508512,23.77417428,6262.263764,0.0037964185
7,44.032196736,1 Midlines,prePM7,4626.2483365,4582.2161398,44.032196736,4604.2322382,0.0095634178
7,-38.41609057,1 Midlines,pm7,10565.344094,10603.760184,38.416090571,10584.552139,0.0036294488
7,31.453391144,1 Midlines,pm6,6965.9598103,6934.5064191,31.453391144,6950.2331147,0.004525516
7,12.816881714,1 Midlines,pm5,3972.1343741,3959.3174924,12.816881714,3965.7259333,0.0032319131
7,-1.15072151,1 Midlines,pm4,8639.643849,8640.7945705,1.15072151,8640.2192098,0.000133182
7,22.456656107,1 Midlines,pm3,6998.1219298,6975.6652737,22.456656107,6986.8936017,0.0032141116
7,12.398664463,1 Midlines,postPM3,3710.6204684,3698.221804,12.398664463,3704.4211362,0.0033469911
7,14.824293505,1 Midlines,medialAxis,6453.7498552,6438.9255617,14.824293505,6446.3377085,0.0022996458
7,15.333621635,1 Midlines,wholePharynx,6267.9566857,6252.623064,15.333621635,6260.2898748,0.0024493469
8,-110.7900106,1 Midlines,prePM7,4522.4333512,4633.2233618,110.79001061,4577.8283565,0.024201434
8,161.79197043,1 Midlines,pm7,10648.142588,10486.350617,161.79197043,10567.246603,0.0153107026
8,50.582792939,1 Midlines,pm6,6954.4678714,6903.8850785,50.582792939,6929.1764749,0.0072999718
8,9.6521960221,1 Midlines,pm5,3988.2985761,3978.64638,9.6521960221,3983.4724781,0.0024230608
8,28.356249267,1 Midlines,pm4,8628.4326016,8600.0763524,28.356249267,8614.254477,0.0032917822
8,49.023022138,1 Midlines,pm3,6977.5558356,6928.5328135,49.023022138,6953.0443246,0.0070505839
8,3.1085155995,1 Midlines,postPM3,3692.1362605,3689.0277449,3.1085155995,3690.5820027,0.0008422833
8,32.763347208,1 Midlines,medialAxis,6448.4754893,6415.712142,32.763347208,6432.0938157,0.0050937297
8,29.648143999,1 Midlines,wholePharynx,6261.2137638,6231.5656198,29.648143999,6246.3896918,0.0047464448
9,-59.34585466,1 Midlines,prePM7,4581.8241893,4641.170044,59.345854663,4611.4971166,0.012869108
9,-7.925282087,1 Midlines,pm7,10534.191034,10542.116316,7.9252820869,10538.153675,0.000752056
9,-23.9090626,1 Midlines,pm6,6860.2283339,6884.1373965,23.909062602,6872.1828652,0.0034791074
9,-20.19967454,1 Midlines,pm5,3944.4567929,3964.6564674,20.199674539,3954.5566302,0.0051079492
9,-54.12888216,1 Midlines,pm4,8547.1108835,8601.2397656,54.128882157,8574.1753245,0.0063130132
9,-0.072598375,1 Midlines,pm3,6903.8567878,6903.9293862,0.0725983748,6903.893087,0.0000105156
9,-8.125620267,1 Midlines,postPM3,3758.020762,3766.1463823,8.1256202665,3762.0835721,0.0021598723
9,-23.92092495,1 Midlines,medialAxis,6388.7302969,6412.6512218,23.920924947,6400.6907593,0.0037372412
9,-22.89857462,1 Midlines,wholePharynx,6208.2529011,6231.1514757,22.898574617,6219.7021884,0.0036816191
10,87.670765929,1 Midlines,prePM7,4636.4215665,4548.7508006,87.670765929,4592.5861835,0.0190896289
10,-45.00977146,1 Midlines,pm7,10608.073743,10653.083515,45.00977146,10630.578629,0.0042339907
10,-34.16003978,1 Midlines,pm6,6940.6315308,6974.7915706,34.160039778,6957.7115507,0.004909666
10,1.1013990397,1 Midlines,pm5,3983.8290827,3982.7276836,1.1013990397,3983.2783831,0.0002765057
10,28.717032685,1 Midlines,pm4,8670.4117641,8641.6947315,28.717032685,8656.0532478,0.0033175665
10,22.625376577,1 Midlines,pm3,6975.6793604,6953.0539838,22.625376577,6964.3666721,0.0032487343
10,-16.80236427,1 Midlines,postPM3,3766.1555011,3782.9578653,16.802364265,3774.5566832,0.0044514802
10,9.9547132873,1 Midlines,medialAxis,6454.9431658,6444.9884525,9.9547132873,6449.9658092,0.0015433746
10,9.6212011277,1 Midlines,wholePharynx,6269.9281325,6260.3069314,9.6212011277,6265.117532,0.0015356777
11,175.46418244,1 Midlines,prePM7,4480.9827931,4305.5186107,175.46418244,4393.2507019,0.0399394877
11,316.93495061,1 Midlines,pm7,10336.914814,10019.979864,316.93495061,10178.447339,0.0311378484
11,-29.86198325,1 Midlines,pm6,6934.0911898,6963.9531731,29.861983247,6949.0221815,0.0042972928
11,8.9031508374,1 Midlines,pm5,3969.877681,3960.9745302,8.9031508374,3965.4261056,0.002245194
11,62.271021895,1 Midlines,pm4,8714.914493,8652.6434711,62.271021895,8683.7789821,0.0071709589
11,61.559069931,1 Midlines,pm3,6988.5181994,6926.9591294,61.559069931,6957.7386644,0.0088475686
11,84.658019431,1 Midlines,postPM3,3745.7214106,3661.0633912,84.658019431,3703.3924009,0.0228595866
11,73.434609485,1 Midlines,medialAxis,6427.852633,6354.4180235,73.434609485,6391.1353283,0.0114900727
11,70.346516222,1 Midlines,wholePharynx,6244.150817,6173.8043007,70.346516222,6208.9775589,0.0113298068
12,-93.22681341,1 Midlines,prePM7,4375.4271542,4468.6539676,93.226813406,4422.0405609,0.0210823063
12,-27.69363281,1 Midlines,pm7,10523.587119,10551.280752,27.693632813,10537.433936,0.0026281192
12,2.3563163792,1 Midlines,pm6,6900.4565476,6898.1002312,2.3563163792,6899.2783894,0.0003415308
12,-10.79644264,1 Midlines,pm5,3969.394014,3980.1904566,10.796442641,3974.7922353,0.0027162282
12,-39.64661776,1 Midlines,pm4,8585.0656148,8624.7122326,39.646617763,8604.8889237,0.0046074526
12,0.5593292212,1 Midlines,pm3,6951.6169108,6951.0575815,0.5593292212,6951.3372461,0.0000804635
12,115.38818823,1 Midlines,postPM3,3862.7646016,3747.3764133,115.38818823,3805.0705075,0.0303248489
12,-11.29741226,1 Midlines,medialAxis,6407.0440671,6418.3414793,11.297412255,6412.6927732,0.0017617267
12,-10.00429367,1 Midlines,wholePharynx,6225.2347499,6235.2390435,10.004293667,6230.2368967,0.0016057646
13,-4.970986872,1 Midlines,prePM7,4469.1582363,4474.1292232,4.9709868716,4471.6437298,0.0011116688
13,-63.07682751,1 Midlines,pm7,10608.675842,10671.75267,63.076827507,10640.214256,0.0059281539
13,2.2642478069,1 Midlines,pm6,7035.7453106,7033.4810627,2.2642478069,7034.6131867,0.0003218724
13,-0.412541835,1 Midlines,pm5,3973.0725438,3973.4850856,0.4125418352,3973.2788147,0.0001038291
13,-33.00767622,1 Midlines,pm4,8752.9082453,8785.9159215,33.007676215,8769.4120834,0.0037639554
13,-25.09990574,1 Midlines,pm3,7059.0281304,7084.1280362,25.099905737,7071.5780833,0.0035494066
13,-69.87523179,1 Midlines,postPM3,3727.0913516,3796.9665833,69.875231785,3762.0289675,0.0185738155
13,-18.42533076,1 Midlines,medialAxis,6477.8289697,6496.2543004,18.425330758,6487.0416351,0.0028403287
13,-18.78027554,1 Midlines,wholePharynx,6291.5449486,6310.3252242,18.780275535,6300.9350864,0.0029805537
14,103.73748158,1 Midlines,prePM7,4518.1391954,4414.4017138,103.73748158,4466.2704546,0.0232268696
14,32.138464383,1 Midlines,pm7,10541.625332,10509.486868,32.138464383,10525.5561,0.0030533745
14,74.973431547,1 Midlines,pm6,6929.9147305,6854.941299,74.973431547,6892.4280148,0.0108776517
14,34.623142962,1 Midlines,pm5,3965.2126862,3930.5895432,34.623142962,3947.9011147,0.0087700127
14,86.941655246,1 Midlines,pm4,8682.3704751,8595.4288199,86.941655246,8638.8996475,0.0100639733
14,57.748593497,1 Midlines,pm3,7078.0192588,7020.2706653,57.748593497,7049.1449621,0.0081922834
14,-7.062860298,1 Midlines,postPM3,3754.3374611,3761.4003214,7.062860298,3757.8688913,0.0018794856
14,53.220454127,1 Midlines,medialAxis,6465.2280069,6412.0075528,53.220454127,6438.6177799,0.0082658198
14,52.044899654,1 Midlines,wholePharynx,6280.4196419,6228.3747423,52.044899654,6254.3971921,0.0083213295
15,-84.06614741,1 Midlines,prePM7,4415.4498945,4499.5160419,84.066147407,4457.4829682,0.0188595555
15,-13.45731761,1 Midlines,pm7,10582.734008,10596.191326,13.457317608,10589.462667,0.0012708216
15,157.87055669,1 Midlines,pm6,7040.2726152,6882.4020585,157.87055669,6961.3373369,0.0226781937
15,-13.87133988,1 Midlines,pm5,3947.0350371,3960.906377,13.871339884,3953.9707071,0.003508205
15,85.509739376,1 Midlines,pm4,8595.327618,8509.8178787,85.509739376,8552.5727483,0.0099981306
15,54.107617918,1 Midlines,pm3,6995.118714,6941.0110961,54.107617918,6968.0649051,0.0077650852
15,33.945526416,1 Midlines,postPM3,3803.0835378,3769.1380114,33.945526416,3786.1107746,0.0089658038
15,38.233923298,1 Midlines,medialAxis,6437.2403296,6399.0064063,38.233923298,6418.1233679,0.0059571811
15,37.743012509,1 Midlines,wholePharynx,6252.3829891,6214.6399766,37.743012509,6233.5114829,0.0060548557
16,-21.72000681,1 Midlines,prePM7,4456.6786686,4478.3986754,21.720006813,4467.538672,0.004861739
16,-61.59548165,1 Midlines,pm7,10563.353948,10624.94943,61.595481653,10594.151689,0.0058141023
16,-16.66457764,1 Midlines,pm6,6956.6621223,6973.3267,16.66457764,6964.9944112,0.002392619
16,-5.135663181,1 Midlines,pm5,3964.2235247,3969.3591879,5.135663181,3966.7913563,0.0012946643
16,-104.7087443,1 Midlines,pm4,8488.972428,8593.6811723,104.70874432,8541.3268001,0.0122590725
16,-67.32229959,1 Midlines,pm3,6938.5957371,7005.9180366,67.322299587,6972.2568869,0.00965574
16,-44.08266486,1 Midlines,postPM3,3725.5588966,3769.6415615,44.082664857,3747.6002291,0.0117629048
16,-46.0960126,1 Midlines,medialAxis,6392.6002005,6438.6962131,46.096012596,6415.6482068,0.0071849346
16,-45.5851291,1 Midlines,wholePharynx,6209.483154,6255.0682831,45.585129098,6232.2757186,0.0073143633
17,-65.91120737,1 Midlines,prePM7,4557.8226395,4623.7338469,65.911207369,4590.7782432,0.0143573059
17,5.5956518765,1 Midlines,pm7,10494.414035,10488.818383,5.5956518765,10491.616209,0.0005333451
17,9.5876594511,1 Midlines,pm6,6918.2924258,6908.7047663,9.5876594511,6913.4985961,0.0013868028
17,-6.360571314,1 Midlines,pm5,3948.1426242,3954.5031956,6.3605713145,3951.3229099,0.0016097321
17,-22.72206278,1 Midlines,pm4,8520.0737936,8542.7958564,22.722062784,8531.434825,0.0026633343
17,-7.862456199,1 Midlines,pm3,7038.9912171,7046.8536733,7.8624561991,7042.9224452,0.0011163627
17,-105.9098997,1 Midlines,postPM3,3585.7259563,3691.635856,105.90989974,3638.6809062,0.0291066742
17,-10.9927505,1 Midlines,medialAxis,6410.5602974,6421.5530479,10.992750505,6416.0566726,0.0017133188
17,-15.11411258,1 Midlines,wholePharynx,6225.2636405,6240.3777531,15.11411258,6232.8206968,0.0024249234
18,29.085211597,1 Midlines,prePM7,4476.8640515,4447.7788399,29.085211597,4462.3214457,0.0065179553
18,-128.5154624,1 Midlines,pm7,10438.733435,10567.248898,128.51546237,10502.991166,0.0122360821
18,-96.8047957,1 Midlines,pm6,6882.1020536,6978.9068493,96.804795704,6930.5044514,0.0139679292
18,-6.358991927,1 Midlines,pm5,3971.6762791,3978.035271,6.3589919275,3974.855775,0.0015998044
18,32.467009771,1 Midlines,pm4,8560.5887761,8528.1217664,32.467009771,8544.3552713,0.0037998197
18,20.10186191,1 Midlines,pm3,6972.5597881,6952.4579262,20.10186191,6962.5088571,0.0028871578
18,-55.1885421,1 Midlines,postPM3,3708.7645111,3763.9530532,55.188542099,3736.3587821,0.0147706752
18,-9.66308745,1 Midlines,medialAxis,6397.4945483,6407.1576358,9.6630874499,6402.3260921,0.0015093089
18,-10.54262305,1 Midlines,wholePharynx,6214.680655,6225.2232781,10.542623053,6219.9519665,0.0016949686
19,-17.6216361,1 Midlines,prePM7,4454.4901074,4472.1117435,17.621636096,4463.3009255,0.0039481174
19,128.20108286,1 Midlines,pm7,10501.918058,10373.716975,128.20108286,10437.817517,0.0122823648
19,159.71641064,1 Midlines,pm6,6998.838329,6839.1219183,159.71641064,6918.9801237,0.0230838083
19,67.71468659,1 Midlines,pm5,3976.0841071,3908.3694206,67.71468659,3942.2267639,0.0171767609
19,32.524974842,1 Midlines,pm4,8611.0461844,8578.5212096,32.524974842,8594.783697,0.0037842692
19,57.82643755,1 Midlines,pm3,6945.4024252,6887.5759876,57.82643755,6916.4892064,0.0083606633
19,-25.00738542,1 Midlines,postPM3,3721.3162816,3746.323667,25.00738542,3733.8199743,0.0066975338
19,59.569860193,1 Midlines,medialAxis,6410.6507532,6351.080893,59.569860193,6380.8658231,0.0093357017
19,55.166795559,1 Midlines,wholePharynx,6225.8272339,6170.6604384,55.166795559,6198.2438361,0.0089003913
20,40.191896016,1 Midlines,prePM7,4464.6616866,4424.4697906,40.191896016,4444.5657386,0.0090429298
20,-30.72391197,1 Midlines,pm7,10473.466436,10504.190348,30.723911975,10488.828392,0.0029292034
20,-13.80301613,1 Midlines,pm6,6913.6388783,6927.4418945,13.803016126,6920.5403864,0.0019944998
20,-15.84916218,1 Midlines,pm5,3950.2684146,3966.1175768,15.849162185,3958.1929957,0.0040041408
20,-144.4118582,1 Midlines,pm4,8437.4811071,8581.8929653,144.41185821,8509.6870362,0.0169702902
20,-62.29278866,1 Midlines,pm3,6916.9285612,6979.2213499,62.292788655,6948.0749555,0.0089654745
20,-40.10115386,1 Midlines,postPM3,3739.6810563,3779.7822102,40.101153862,3759.7316333,0.0106659618
20,-48.60704631,1 Midlines,medialAxis,6360.2142785,6408.8213248,48.607046312,6384.5178017,0.0076132682
20,-46.1372856,1 Midlines,wholePharynx,6179.4859774,6225.623263,46.137285599,6202.5546202,0.0074384328
21,53.186277107,1 Midlines,prePM7,4496.6135095,4443.4272324,53.186277107,4470.020371,0.0118984418
21,30.945268922,1 Midlines,pm7,10487.539222,10456.593953,30.945268922,10472.066587,0.0029550298
21,62.341949178,1 Midlines,pm6,6980.2412159,6917.8992667,62.341949178,6949.0702413,0.0089712648
21,16.169439404,1 Midlines,pm5,3975.4272051,3959.2577657,16.169439404,3967.3424854,0.0040756349
21,-32.62705499,1 Midlines,pm4,8522.135595,8554.7626499,32.627054993,8538.4491224,0.0038211922
21,-26.3293597,1 Midlines,pm3,6987.1980105,7013.5273702,26.329359704,7000.3626903,0.0037611422
21,-46.65824119,1 Midlines,postPM3,3737.1968908,3783.8551319,46.65824119,3760.5260113,0.0124073709
21,7.980464963,1 Midlines,medialAxis,6415.3771485,6407.3966835,7.980464963,6411.386916,0.001244733
21,7.1247777913,1 Midlines,wholePharynx,6231.7889589,6224.6641811,7.1247777913,6228.22657,0.0011439497
22,17.017915844,1 Midlines,prePM7,4452.0650541,4435.0471383,17.017915844,4443.5560962,0.0038297966
22,76.348946464,1 Midlines,pm7,10524.133991,10447.785045,76.348946464,10485.959518,0.0072810644
22,-75.6386019,1 Midlines,pm6,6965.5215105,7041.1601124,75.638601896,7003.3408115,0.01080036
22,6.7476359827,1 Midlines,pm5,3975.8674568,3969.1198208,6.7476359827,3972.4936388,0.0016985895
22,-62.22348356,1 Midlines,pm4,8608.8996211,8671.1231047,62.223483556,8640.0113629,0.0072017826
22,10.784050965,1 Midlines,pm3,7002.8419794,6992.0579285,10.784050965,6997.4499539,0.0015411401
22,-7.494626271,1 Midlines,postPM3,3752.3163704,3759.8109967,7.4946262707,3756.0636836,0.0019953406
22,-0.883435461,1 Midlines,medialAxis,6426.9157659,6427.7992014,0.8834354605,6427.3574836,0.0001374492
22,-0.239471279,1 Midlines,wholePharynx,6244.1355028,6244.3749741,0.2394712789,6244.2552385,0.0000383507
23,45.81156077,1 Midlines,prePM7,4391.4257683,4345.6142076,45.81156077,4368.519988,0.0104867463
23,-35.86904579,1 Midlines,pm7,10421.8855,10457.754546,35.86904579,10439.820023,0.0034357916
23,-124.0649613,1 Midlines,pm6,7089.1740431,7213.2390043,124.06496129,7151.2065237,0.0173488153
23,4.9914123922,1 Midlines,pm5,4041.0691613,4036.0777489,4.9914123922,4038.5734551,0.0012359345
23,32.264511295,1 Midlines,pm4,8583.8524975,8551.5879862,32.264511295,8567.7202418,0.0037658222
23,-62.31428543,1 Midlines,pm3,6929.6538296,6991.968115,62.314285434,6960.8109723,0.0089521588
23,-10.97715444,1 Midlines,postPM3,3812.9902013,3823.9673557,10.97715444,3818.4787785,0.0028747454
23,-26.55672746,1 Midlines,medialAxis,6410.0195273,6436.5762548,26.55672746,6423.2978911,0.0041344381
23,-24.07051137,1 Midlines,wholePharynx,6228.9111357,6252.9816471,24.07051137,6240.9463914,0.0038568688
24,-9.510682926,1 Midlines,prePM7,4384.558879,4394.0695619,9.5106829261,4389.3142205,0.0021667811
24,-175.9145611,1 Midlines,pm7,10269.951302,10445.865863,175.91456105,10357.908582,0.0169835985
24,-138.2674422,1 Midlines,pm6,7084.0054933,7222.2729355,138.2674422,7153.1392144,0.0193296171
24,-37.67005064,1 Midlines,pm5,3988.9849698,4026.6550205,37.670050641,4007.8199952,0.0093991374
24,-108.897772,1 Midlines,pm4,8458.0639519,8566.9617239,108.897772,8512.5128379,0.0127926705
24,-45.07384395,1 Midlines,pm3,6957.3720821,7002.445926,45.073843952,6979.9090041,0.006457655
24,-11.63510409,1 Midlines,postPM3,3773.6541878,3785.2892919,11.635104093,3779.4717399,0.0030785001
24,-60.34254001,1 Midlines,medialAxis,6375.5926159,6435.9351559,60.342540014,6405.7638859,0.0094200381
24,-58.21996337,1 Midlines,wholePharynx,6195.4573644,6253.6773277,58.219963367,6224.5673461,0.0093532546
25,12.920653159,1 Midlines,prePM7,4342.3427066,4329.4220535,12.920653159,4335.8823801,0.0029799363
25,-104.2024519,1 Midlines,pm7,10370.943069,10475.145521,104.20245186,10423.044295,0.0099973145
25,-27.68970615,1 Midlines,pm6,7047.8148034,7075.5045096,27.689706153,7061.6596565,0.0039211329
25,-0.882102537,1 Midlines,pm5,4009.9332688,4010.8153714,0.8821025366,4010.3743201,0.0002199552
25,26.770391803,1 Midlines,pm4,8558.5439738,8531.773582,26.770391803,8545.1587779,0.0031328139
25,-83.98324607,1 Midlines,pm3,6969.6699072,7053.6531533,83.983246067,7011.6615303,0.0119776526
25,26.433018751,1 Midlines,postPM3,3820.7699359,3794.3369172,26.433018751,3807.5534266,0.0069422581
25,-28.80540621,1 Midlines,medialAxis,6401.2434379,6430.0488441,28.805406215,6415.646141,0.0044898683
25,-25.93455204,1 Midlines,wholePharynx,6220.4670932,6246.4016452,25.934552036,6233.4343692,0.0041605559
26,-54.77241924,1 Midlines,prePM7,4451.4174636,4506.1898828,54.77241924,4478.8036732,0.0122292521
26,-64.60101964,1 Midlines,pm7,10480.690117,10545.291137,64.601019645,10512.990627,0.0061448756
26,-67.63674333,1 Midlines,pm6,6989.8545648,7057.4913081,67.63674333,7023.6729365,0.0096298253
26,18.270594161,1 Midlines,pm5,4011.2878687,3993.0172746,18.270594161,4002.1525717,0.0045651918
26,-94.7208448,1 Midlines,pm4,8468.7795262,8563.500371,94.720844801,8516.1399486,0.0111225092
26,-76.51510316,1 Midlines,pm3,6951.1663379,7027.681441,76.515103158,6989.4238895,0.010947269
26,-81.58926223,1 Midlines,postPM3,3640.93101,3722.5202723,81.589262233,3681.7256412,0.0221606035
26,-46.78965011,1 Midlines,medialAxis,6387.0668556,6433.8565057,46.789650113,6410.4616807,0.0072989517
26,-48.56191355,1 Midlines,wholePharynx,6203.9012296,6252.4631431,48.561913554,6228.1821864,0.0077971248
27,137.88234008,1 Midlines,prePM7,4412.7508743,4274.8685343,137.88234008,4343.8097043,0.0317422607
27,424.99447583,1 Midlines,pm7,10216.786345,9791.7918694,424.99447583,10004.289107,0.0424812269
27,-35.98494178,1 Midlines,pm6,6979.8295271,7015.8144689,35.984941777,6997.821998,0.005142306
27,41.475661801,1 Midlines,pm5,3978.6473943,3937.1717325,41.475661801,3957.9095634,0.0104791838
27,-40.4803321,1 Midlines,pm4,8413.8160409,8454.296373,40.480332105,8434.056207,0.004799628
27,64.14435257,1 Midlines,pm3,6995.8643931,6931.7200405,64.14435257,6963.7922168,0.0092111238
27,99.667232967,1 Midlines,postPM3,3771.2947151,3671.6274821,99.667232967,3721.4610986,0.0267817479
27,68.79511295,1 Midlines,medialAxis,6371.6085689,6302.8134559,68.79511295,6337.2110124,0.0108557397
27,68.894167163,1 Midlines,wholePharynx,6192.0300196,6123.1358524,68.894167163,6157.582936,0.0111885082
28,-26.75518929,1 Midlines,prePM7,4424.4638753,4451.2190646,26.755189295,4437.8414699,0.0060288745
28,-232.3867862,1 Midlines,pm7,10413.430082,10645.816868,232.38678618,10529.623475,0.0220698097
28,-14.35335684,1 Midlines,pm6,6928.2019993,6942.5553562,14.353356843,6935.3786778,0.0020695852
28,-36.82021451,1 Midlines,pm5,3910.1729094,3946.9931239,36.820214513,3928.5830166,0.0093723906
28,-52.57291072,1 Midlines,pm4,8463.3491429,8515.9220536,52.572910722,8489.6355983,0.0061925992
28,-77.25797104,1 Midlines,pm3,6991.6248334,7068.8828045,77.257971042,7030.253819,0.0109893573
28,13.066173721,1 Midlines,postPM3,3828.5160778,3815.4499041,13.066173721,3821.982991,0.0034186897
28,-67.03236196,1 Midlines,medialAxis,6372.1089047,6439.1412666,67.032361961,6405.6250856,0.010464609
28,-62.73414086,1 Midlines,wholePharynx,6193.1013133,6255.8354542,62.734140856,6224.4683838,0.0100786343
29,-23.59577017,1 Midlines,prePM7,4425.4278036,4449.0235737,23.595770167,4437.2256886,0.0053176854
29,-90.08462413,1 Midlines,pm7,10475.190125,10565.274749,90.084624132,10520.232437,0.008562988
29,-45.34271567,1 Midlines,pm6,6961.5217641,7006.8644798,45.342715669,6984.1931219,0.006492191
29,-28.95977746,1 Midlines,pm5,3937.9919319,3966.9517094,28.959777455,3952.4718206,0.0073270042
29,23.357770607,1 Midlines,pm4,8571.1777823,8547.8200117,23.357770607,8559.498897,0.0027288713
29,-33.13854465,1 Midlines,pm3,6976.9288532,7010.0673979,33.138544649,6993.4981256,0.0047384791
29,-25.98397781,1 Midlines,postPM3,3608.2389283,3634.2229061,25.983977806,3621.2309172,0.0071754545
29,-27.99804063,1 Midlines,medialAxis,6392.7688179,6420.7668585,27.998040632,6406.7678382,0.0043700726
29,-27.10261845,1 Midlines,wholePharynx,6207.6967769,6234.7993953,27.102618448,6221.2480861,0.00435646
30,-34.13246976,1 Midlines,prePM7,4491.4222312,4525.554701,34.132469759,4508.4884661,0.0075707124
30,-114.0908789,1 Midlines,pm7,10461.960651,10576.051529,114.09087888,10519.00609,0.0108461653
30,10.470561869,1 Midlines,pm6,6957.3355945,6946.8650327,10.470561869,6952.1003136,0.0015061005
30,30.206405369,1 Midlines,pm5,3933.3237718,3903.1173664,30.206405369,3918.2205691,0.0077092151
30,-49.14180748,1 Midlines,pm4,8560.6197017,8609.7615092,49.141807484,8585.1906055,0.0057240206
30,52.950098755,1 Midlines,pm3,7006.0439533,6953.0938545,52.950098755,6979.5689039,0.0075864426
30,66.077018308,1 Midlines,postPM3,3665.813816,3599.7367977,66.077018308,3632.7753068,0.0181891289
30,8.7165892485,1 Midlines,medialAxis,6403.6194442,6394.9028549,8.7165892485,6399.2611496,0.0013621243
30,10.575483659,1 Midlines,wholePharynx,6220.8894909,6210.3140072,10.575483659,6215.601749,0.0017014416
31,-84.85207229,1 Midlines,prePM7,4389.9827309,4474.8348032,84.852072293,4432.408767,0.0191435575
31,119.84244889,1 Midlines,pm7,10635.9522,10516.109751,119.84244889,10576.030976,0.0113315146
31,-16.57108208,1 Midlines,pm6,6942.6099889,6959.181071,16.571082083,6950.89553,0.0023840212
31,41.304968281,1 Midlines,pm5,3965.3636826,3924.0587143,41.304968281,3944.7111985,0.010470974
31,-70.30135307,1 Midlines,pm4,8532.4085063,8602.7098593,70.301353067,8567.5591828,0.0082055287
31,48.391375358,1 Midlines,pm3,7016.4622502,6968.0708749,48.391375358,6992.2665626,0.0069206995
31,-55.66129416,1 Midlines,postPM3,3766.081771,3821.7430652,55.661294158,3793.9124181,0.0146712122
