baseline,tbp,t+10min,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
N,N,0,0.00819063524437,0.037559296085676,0.007519276396985,0.001304857707143,-0.02205968225229,0.001969034145969,-0.003484552398327,0.013501669676308,0.02535599735964,0.00207484441285,-0.010860226952306,0.007586461830191,-0.016108721443281,-0.015013175339625,0.011946547465507,0.008772365724595,-0.00663237739759,-0.004891562989509,-0.00800260051922,0.004679828803641,-0.020541074133499,-0.047264171850175,0.010113033465042,-0.001629410144462,-0.008348583182295,0.008655684870756,-0.004766012413187,0.010574748744562,-0.008891683167708,-0.002721352478837,-0.021609912333676,0.000585814434694,0.02031798714418,0.016639462903365,0.005278171575964,0.00250563774518,0.007039679762983,0.023081081508435,0.014084303690904,0.014352940013012,0.010533727454341,-0.01009703805123,-0.003864002202528,0.011344041678027,-0.001875345642707,-0.002538072742736,-0.002916260343838,-0.008116105317938,0.004767062511875,-0.006599592315945,-0.005302271511266,-0.008925638738937,-0.005673660278937,-0.014868540451688,-0.007418508780119,-0.00596703021008,0.000563850590004,0.013308178733285,-0.005835497062753,-0.005931742824394,0.013814565429304,0.001797119841843,0.008609624100446,-0.006968946842663
N,N,0.5,-0.005764227052046,-0.025831554452518,-0.020880199367819,0.004018057552925,0.032949377021246,-0.01034334262498,-0.009728331040932,0.002459390203183,-0.026401964405386,-0.001618317181188,0.000180845331319,0.010953837115743,0.02228736484058,0.015990829767804,0.018529449240267,0.000859003166823,0.00463143921375,-0.018256642992691,0.022467288076898,-0.004356775126544,0.017314969749477,0.026594802298975,0.012904771632758,-0.008566819577385,-0.011625017068104,-0.011949092187187,0.0029559120376,0.000568403474002,0.001191379161182,0.001557991604083,0.009683513525044,-0.010164635534494,-0.032528943253518,-0.011673713590791,0.000534128827408,-0.004595384504511,-0.007339384173026,-0.012772090754007,-0.006207310075824,-0.015935615964035,-0.008737714185365,-0.014874052400474,-0.002517052462931,-0.008352805566112,0.00652120120727,-0.008782682600535,-0.000341970385591,0.018017286635359,0.000542955555033,0.012771613899664,-0.004836573488649,0.001791742501783,-0.001020212261372,0.009861298271922,0.007382590073603,0.002244050499566,0.01361880668188,-0.005963081681807,0.006872358114954,0.006354966938363,-0.005643745855739,0.021817732244851,0.008211401469214,0.024573083702768
N,N,1,0.025399009916959,-0.003497733597569,0.012353183307683,0.017091639029523,-0.02696303677893,-0.010814150838574,-0.006636334079877,-0.025470505642236,-0.008094106976194,0.006127693586985,0.028980206765332,-0.002844727811498,0.006977089763673,0.013256168358427,-0.041299172117386,0.002155158670038,0.009240431635761,0.016822169919127,-0.006307781518607,-0.013762478658708,0.024389857258636,0.00931277486961,-0.009821730045795,-0.016163964388381,0.029853980626674,-0.005163640670832,-0.009044797649207,-0.017284460228951,0.017681350669621,0.011549166099662,0.00595773867834,0.00254669730822,-0.003076225678551,-0.007597302720439,-0.010727991370304,0.025994291520774,-0.000542100345861,-0.006094788283211,0.005452416603072,-0.02050354734482,0.01071435606673,0.022650605077413,0.007311672665585,-0.020764670427274,-0.012773647143185,0.001046480111318,-0.000958724631642,0.014761369739424,-0.007839451696288,0.012711087619471,0.015201964231895,0.012895345009164,0.001068565896105,0.016614605445156,-0.006602696972828,0.007369149842955,-0.007323085707647,-0.009912894148724,0.002686406707513,-0.003580034146348,-0.024837793826881,-0.016988285432817,-0.004037720655767,-0.013945457690007
Y,N,1.5,-0.030272587239786,-0.032081355085068,0.002066332885171,-0.014591608823569,0.019579499874127,0.026703526997427,0.024994625783056,0.008833190118422,0.009010523461493,0.018975068154566,0.007284407416727,-0.019617832619563,-0.022068638962843,0.002374678251446,0.012863986331031,-0.00950125355903,0.002904838980504,0.023001668771623,0.002356961768787,0.006051759286408,-0.026589697639123,-0.0026507546823,-0.013199069137188,0.013909762762099,-0.008288312849434,0.008406397209898,0.003616966604668,-0.004572315560319,-0.010257169347411,-0.019040013874399,-0.002080248599963,-0.008121128918206,0.016446771908236,-0.004444455357203,0.015423887701294,-0.026671675334249,-0.004559403196204,-0.02073752026645,0.005963514141016,0.004442860299563,-0.008176641475662,-0.002401953423263,-0.001345254449418,0.021876703400441,0.010113035988548,0.016717510712652,-0.012345412746321,-0.013271613517054,-0.011577598270578,-0.011356581502496,-0.005249735330794,-0.012971966025051,0.011871215177351,-0.016289021330107,0.011030443280224,-0.009801287839381,-0.01812522572179,0.000678893843922,-0.007022003229845,-0.0053034027713,0.000186680077148,-0.012040248679554,-0.000827572408764,0.005067834493893
Y,N,2,-0.013253227003141,-0.020411406694926,0.000238598966186,-0.016638104387423,-0.001438617927877,0.012002008582297,-0.0152705255362,-0.008950676881146,0.015223610640752,-0.024122634309991,-0.02346948537681,-0.006099262520334,-0.018985811505427,-0.006055531099102,0.003140063358054,-0.022699019473141,-0.013383981907977,-0.012768848937617,-0.014066026710257,0.004555578865739,0.030818296400227,0.038604309974478,-0.000235563612482,0.02174606681046,0.003021326024539,-0.005718693464746,0.031487685885474,0.006529121037185,-0.005634650935431,-0.015768705658537,0.01331485980061,0.02556359467114,0.011331088455167,0.002198667281061,-0.010862118066243,-0.024019082458696,-0.010262584011243,0.010288514658593,-0.027097963092022,0.017475371061953,-0.017001836456195,0.015117986550968,0.022239184222987,0.002547893950077,-0.026109498207786,0.018672416328005,-0.002394887357707,-0.023909068953108,0.006339643949182,-0.026240574587466,0.002720035155131,-0.007710554419877,0.001082784755072,-0.007028525041964,-0.007195868077073,-0.013613770710959,0.02510583978542,-0.00743362167773,-0.019025061252406,0.016028476893922,0.003758729913348,-0.013379251548386,-0.013600078128376,-0.009162889646118
Y,N,2.5,-0.000691895745135,0.008523030678528,-0.021995407750151,0.002610266944848,-0.036395305983406,-0.011728396583373,0.038174639597511,-0.008206438327064,-0.006441752400389,-0.023623513629919,-0.006230853099764,-0.011621128110945,0.022559423233513,-0.010549292080404,-0.032104768785523,0.016642356721617,0.005480373456623,0.016020130414291,0.00342958936341,-0.002061073474251,-0.018031164137466,0.030803564300422,-0.015095875428295,-0.002686954779543,0.004766537133747,-0.007420494341803,-0.027242424997135,-0.009890518160237,0.015519937781519,0.02638254702653,0.016948018530459,0.014462651062091,-0.008431335227731,0.002382650622461,-0.00343648843763,0.023355156340909,0.014734123117127,0.003009088320191,-0.002242012968426,0.000302751156528,-0.011250269818714,-0.019416573694498,-0.016924021464276,-0.017174042337608,0.019617818228622,-0.027160983829466,0.018624802855972,-0.013157657888867,0.004587496470735,0.009870530489644,0.003519356436411,0.018819412583546,-0.003697580865803,-0.002506234334965,0.023461951085505,0.020953057532975,-0.026388261499338,0.017772991812003,0.021087612676433,0.013291328224498,0.014219677039017,-0.001702372220162,0.002984817506552,-0.007919196691799
Y,N,3,0.016097505570106,0.026067592819838,-7.25E-05,-0.022866958324408,0.045367946105852,-0.00616872853932,-0.023061093353916,0.010029929302135,0.008302796766106,-0.00231656876419,0.007958115945946,0.017888465492377,0.011155892991499,-0.006176585539854,0.013611059981282,-0.019135331310614,-0.015044901928118,-0.004359264824048,-0.004371372280221,0.016695291011542,-0.015232008665949,-0.016447199453926,-0.019053793430517,-0.005319173737468,-0.004048834409259,0.006083112293055,-0.003881311596749,0.001648767475734,-0.017469001144376,-0.013701938141011,-0.012767176271127,-0.022476694968105,0.004709583183589,-0.002322906312669,-0.016358513891267,-0.015120541084253,-0.004732857832156,0.024155997083926,-0.022492860249056,-0.020852755269986,0.016931094524419,0.013437854378459,-0.002754949437997,-0.007778967009324,-0.002468713870233,0.007486945123341,0.012175527120726,0.009041108408979,-0.007400254917568,0.002654043089171,-0.000270027400475,-0.010371866819122,0.001030084357249,0.01592878528967,-0.024700330872531,-0.007250664269354,-0.001904184220015,-0.012162662753531,0.005300029304375,-0.021970759542181,0.020112898714801,0.003143858015576,-0.017709513269497,-0.006182784825117
Y,N,3.5,-0.003236896756614,0.002293940427056,0.036182944544565,0.019093639164591,0.018834455503934,-0.010116796017279,-0.020455799978556,0.034317541530918,-0.02261417530911,0.009997609527074,-0.015424885279379,0.007042067587431,-0.01113390154748,-0.009144588277919,0.002577504158196,0.024285593085052,0.002604527623209,-0.013572185354672,-0.008942048816097,0.023488202085761,-0.02281861363341,-0.020247021310236,0.025952543099521,0.004046759794948,-0.01125558128682,0.015929893018521,0.011737114417776,0.001168018077128,0.003568047100256,0.012331606512264,0.00471209843022,-0.004526263669494,-0.012283852643212,0.005631844748587,0.009070562189112,0.004339282318236,0.010047635351527,-0.044425903844471,0.003887589799045,0.011008015477652,0.016226637412153,-0.010653102177544,-0.011277217338602,0.020055408296128,0.003052740587946,0.002940295693345,-0.004246268611516,0.00437059250973,0.017499844198517,-0.001605649937487,-0.006666687271287,0.006346401574341,-0.006263221257772,0.011920908256028,-0.015986359069304,0.009914713902944,0.022813899748955,-0.007437345815908,-0.008863944688192,0.009728770898067,0.002414475415895,0.001246482465374,-0.015975370023725,0.005423251546951
Y,N,4,-0.017592715273934,0.01781397884959,-0.026738372542861,0.018526477181136,-0.015365250902086,0.026722685435424,0.01981675887687,-0.014906245975561,-0.025275164380734,0.012336094214903,0.011198424136361,-0.002462353635807,-0.004072925817618,0.017142250426367,0.016833656884591,0.024291259522355,0.013427729866163,0.034589810340946,0.00312536045819,-0.039425545196696,0.030420093171307,-0.04764369432051,0.003852378161059,-0.003024479039498,0.01732480471788,0.009634394150982,-0.009417185150091,0.017739250598974,-0.003030175544485,0.012880185574059,-0.008107424121416,-0.010177842725474,0.021444324770098,0.005023468358779,-0.020152372052201,0.025329706817203,0.003015993084096,0.002481108241416,0.025214982273293,0.020403932324001,0.007543089197655,0.033669223118875,0.008185733393876,0.024520325599281,0.02048955194061,-0.027149695196254,-0.002772406934736,0.020767994626306,0.005122274372613,0.010364063497759,0.003649223654599,0.014710917521163,-0.006724530506609,-0.001109780971331,-0.003306798046418,0.01088653709662,-0.016468143332238,0.011259138382639,-0.000637101398067,-0.005933129016782,-0.005233048318274,0.02443643786343,0.01866541588721,0.001542809092716
Y,N,4.5,0.009334833845081,0.003366505853621,0.01032008325955,-0.013512424508406,0.00028944296049,-0.017712624348367,0.004374605189089,-0.026936222955756,0.013095568533353,-0.029301104078283,0.019866266097471,-0.026895990909807,0.052604802066314,0.010298521965863,0.020330393314972,-0.021148482711098,0.009929739722303,-0.022453349420803,-0.001383517701626,0.015432136614589,0.008512062893661,0.03233373786502,0.017643797204676,0.009937961674425,-0.025665198228618,-0.004481526877599,-0.017167480996005,0.008858133283198,0.00580651156599,-0.016614773815541,-0.006427199494422,0.022818622207891,-0.021163495446384,-0.008549574867446,0.025620902561384,-0.00818370046525,0.004782759849733,0.00300745688223,0.01533094207843,-0.007403815318801,-0.014600716253735,-0.00995235563306,-0.013470681567442,-0.027554087456394,0.014259339074656,0.020117502934018,-0.006085826813814,-0.009051521787746,-0.009990407033465,-0.016078158773163,-0.015420770173634,0.012275516229842,-0.001470537835202,-0.013717097478828,0.025078609443269,0.013002930259687,0.014235159805294,0.001330046797107,0.013376940324655,-0.018773995530468,-0.03182712853642,0.023859672762396,0.022854381225837,-2.97E-05
