baseline,tbp,t+10min,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
Y,N,5,0.038742983,0.030210938,0.01142155,-0.0125732,-0.006779589,0.000753619,-0.015958804,0.001025037,-0.006079807,-0.008883981,-0.004738112,0.01753041,-0.017305389,-0.022031381,-0.022771693,-0.007520521,-0.006403841,-0.023276206,0.003600159,-0.022774786,-0.002118247,-0.023168636,-0.019506616,-0.003106338,0.004490453,0.016774919,0.010057212,-0.017121281,0.023441538,-0.010394554,-0.002192388,-0.027487172,-0.001858729,-0.011355813,0.00081701,0.000350548,-0.001335993,0.027675126,-0.016778478,-0.001519213,-0.004849214,0.005835981,0.011212582,0.002529873,-0.010010597,0.013529622,0.016611425,0.023872555,-0.000758497,0.010372588,0.008502719,-0.0091505,0.016345139,0.018073021,0.005898619,-0.013910297,-0.01324438,0.003252886,0.003526956,0.012645251,0.014323205,-0.017384353,-0.017789969,0.00986654
Y,N,5.5,0.016279052,-0.018248661,0.01991809,0.02393313,0.013525915,-0.015395571,-0.023733724,0.008840974,0.033364481,0.120678167,-0.023974786,0.009450859,0.010575537,-0.007967232,0.015513398,0.009116379,0.007652564,-0.014793151,0.015426128,0.022043078,-0.014678406,-0.007743931,0.029663133,-0.008857401,0.00110278,-0.018943136,0.035224566,0.010346555,-0.014511681,0.030606242,0.009079707,0.02663306,0.006541476,0.016171544,0.015262473,0.014731397,-0.003167618,0.002460673,0.018811581,0.000376433,-0.00450458,-0.00805587,0.010745105,-0.017937516,-0.013829531,-0.016647753,0.011231647,-0.008897649,-0.001974269,-0.013565811,0.012207472,0.001657826,0.007682554,-0.022135523,0.002286241,-0.009898193,0.014465481,0.017902583,0.014437205,0.001754603,-0.009791262,-0.010893556,0.020243062,0.002446904
Y,N,6,-0.018284463,-0.008655355,0.006266159,0.006151636,-0.009579659,0.009251691,0.036867136,0.001611617,0.018420393,-0.039519759,-0.013862971,0.021887405,-0.024704345,0.039343777,-0.035786113,0.002438899,-0.001059207,0.008711372,-0.00249695,-6.59E-05,0.024238526,0.003191739,-0.009419249,0.005524716,0.027514337,-0.020090139,-0.010634634,-0.004395076,0.009068841,0.010264566,0.01025132,0.00512327,-0.007588602,-0.001676831,0.00621804,-0.008770656,0.001719287,-0.013428592,0.000508868,0.011971948,-0.00273639,-0.008262901,0.002265447,0.00660006,-0.01158926,0.005955279,-0.018369564,0.002536139,0.008366675,0.02436057,-0.005173128,-0.00860432,-0.009240424,0.008313536,0.014810729,-0.005618117,0.01368926,-0.015952411,-0.011958827,0.02618025,0.015868772,-0.000903974,0.008279584,-0.005356386
Y,N,6.5,-0.011733921,-0.00735492,0.020448431,0.009085007,-0.007902442,0.013421296,0.025299177,0.005085866,-0.006593431,0.000171969,0.013302571,0.02383779,-0.013885381,-0.011382319,0.019610766,-0.005366333,-0.006481933,0.004583335,0.008243865,-0.026145784,-0.013955174,0.051598056,-0.011079118,0.01333757,-0.007684888,0.024125695,0.000106987,0.02412962,-0.016858713,-0.020384559,-0.002728285,0.00577779,0.00086842,0.016611202,0.009140766,0.004794878,-0.009443214,0.023894448,0.004099674,0.005762064,0.021474462,0.001932502,0.014606754,0.018460345,0.005916927,0.005822507,0.002453202,0.00576814,0.012953112,0.015006082,0.009067706,-0.005494503,0.009991142,0.007338761,-0.016044319,0.016631313,-0.013799582,0.008405111,0.015476329,-0.00811923,-0.006630109,-0.014055051,-0.002747358,0.023199118
Y,N,7,-0.016406702,-0.022518811,-0.022120611,-0.018788468,-0.020727826,0.000944369,0.012308306,0.016044547,0.005533573,-0.038348982,0.012641004,-0.046585286,-0.008101048,0.021474811,0.008066107,0.032124845,0.018784297,0.014286192,0.004154835,0.010473611,0.024976677,0.024235218,0.004034181,0.012578633,0.029105287,-0.002844194,0.009907143,-0.015780477,0.012777348,0.005503545,-0.004998281,-0.015025315,0.021554102,-0.009382535,0.006292502,0.024953089,0.010894619,-0.00373131,-0.009794193,0.019084524,0.009483496,0.002212817,-0.005010482,0.015782919,0.022785651,-0.008826561,-0.004507291,-0.011276062,-0.017372821,0.009275107,0.004151251,0.002322584,0.02896891,0.021373233,0.019406593,0.006169137,0.014644657,-0.012824117,-0.010398761,0.004767132,0.003479618,0.025308852,-0.01640389,-0.007583736
Y,N,7.5,0.03836523,0.024107286,-0.03359769,0.01500368,-4.04E-05,0.004180078,-0.00147017,0.016521277,-0.004994133,-0.007605118,0.0140439,0.002294043,0.015588104,-0.005391018,-0.009855276,0.009103032,-0.011874188,0.028845507,0.010152036,0.02621176,0.00871245,-0.000391178,0.005328448,0.002366857,0.001972226,0.003613453,0.00431272,0.026738022,0.005634574,0.018955732,0.005217374,0.001180585,0.01821528,0.023781956,0.01437837,-0.008546755,0.008684718,0.001246566,0.02583849,-0.008820089,0.017184301,-0.004613639,-0.00657552,-0.010848069,-0.011554136,0.021594633,0.003464666,0.001757135,0.015308551,0.018222672,0.002880679,-0.001781184,-0.008167048,0.003314886,-0.012986561,-0.010105341,-0.0117796,-0.000797659,-0.004799366,-0.023513398,0.007203171,0.022729144,0.01335055,-0.004403311
Y,N,8,-0.03311869,0.004871256,-0.012185079,0.011521505,0.014550539,0.001957051,-0.00811535,-0.023819172,0.009969924,-0.006908192,0.020998605,0.024835784,0.00313636,0.012261882,-0.000420593,-0.011405846,-0.007964163,0.002630792,-0.008911308,-0.003711219,-0.012891863,-0.01266836,-0.005582549,-0.013702141,-0.005422973,0.016521268,-0.000271618,-0.037952459,0.020795091,0.003415381,0.003789545,0.008222832,-0.01990347,0.006241337,0.003976825,-0.011310108,-0.020006352,0.005631766,-0.009973486,0.00777442,-0.007342376,0.026860331,0.002917579,0.027775179,0.014232558,-0.017878615,-0.005619446,0.001812967,0.005482755,-0.001831262,-0.001623508,0.007733853,-0.027377024,-0.00111727,0.025459209,0.012855571,0.006403563,0.014062869,0.02164086,0.007237382,0.006834172,-0.014093407,-0.00897773,0.016719894
Y,N,8.5,0.013391329,-0.022218717,-0.010124175,0.009718667,0.025573124,-0.006972704,-0.004254724,0.007407938,-0.02272597,-0.019426731,0.006891305,0.01036767,-0.001787441,-0.008062707,0.000160662,-0.006474239,-0.002059241,-0.010744179,0.003665126,0.018103928,-0.020627623,-0.021129154,0.019613498,-0.026749361,-0.020538521,-0.002776545,-0.020467802,0.018354946,-0.020110401,-0.021993783,-0.008297621,-0.014282151,0.008620159,0.00454266,-0.021657428,0.002774656,0.009374783,0.012766551,-0.015118012,-0.015028427,-0.00562257,0.005939141,-0.002510955,0.004028929,0.002068376,0.024810751,0.000294651,-0.0169183,0.006657034,-0.012164723,0.003404196,0.012241534,-0.01296204,-0.010394243,-0.023787564,0.009894751,0.012091256,0.012110513,-0.014119184,0.014798766,9.91E-06,-0.002808153,0.007300125,0.005460867
N,N,9,-0.029842019,0.026498117,0.006534761,-0.032762847,-0.003214462,0.005004726,-0.01460247,0.007794304,-0.019911333,0.093991147,-0.018277091,-0.013919425,0.013010923,-0.017582134,0.009885401,-0.003686365,0.005401542,-0.015403156,-0.000518633,-0.02175033,-0.010146862,0.007131514,-0.009548946,0.008275577,-0.017758125,-0.025376822,-0.000412471,-0.00672756,0.004917327,-0.003959245,0.016749566,0.000757381,-0.019231819,-0.004203203,-0.028697467,-0.020924413,0.007209142,-0.031090301,0.003861133,-0.004350377,-0.026995647,-0.027545307,-0.002095644,-0.016311915,-0.021457655,-0.00587246,-0.012463203,0.008567657,0.001990661,-0.004829296,-0.002641103,0.000435535,0.014210371,-0.006987266,-0.017453454,-0.01193449,-0.008661444,0.000863036,-0.00263652,0.010795962,-0.010906594,0.01004487,0.01714621,0.00913789
N,N,9.5,0.001452997,-0.029360349,0.004541651,0.016210142,0.01295554,0.014576595,-0.009949058,-0.023388189,0.011577968,-0.023864978,-0.005014632,-0.017992882,-0.016401232,-0.023495853,-0.004600586,-0.038426123,-0.002189744,0.002621167,-0.009993722,0.005847665,0.016455625,-0.030378461,-0.008412391,-0.000523422,-0.018164329,-0.018320802,0.001030813,-0.004364597,-0.013976013,0.009850675,-0.025165298,0.001554788,-0.004258652,-0.037910866,-0.018754194,0.001491838,-0.015188189,0.005116286,-0.01059673,-0.018840687,0.007620431,-0.030411145,-0.017794199,-0.027573886,-0.012171383,-0.024981373,-0.000525897,-0.011909484,-0.02685164,-0.029113582,-0.012043478,-0.018058477,0.009058926,-0.015647805,-0.025697988,-0.025712359,-0.024087574,-0.012248082,-0.012282802,-0.036705817,-0.002907398,-0.000537213,-0.020660259,-0.024153526
