Position 1,Position 2,Position 3,Position 4,Position 5,Position 6,Position 7,Position 8,Position 9,Position 10,Position 11,Position 12,Position 13,Position 14,Position 15,Position 16,Position 17,Position 18,Position 19,Position 20,Position 21,Position 22,Position 23,Position 24,Position 25,Position 26,Position 27,Position 28,Position 29,Position 30,Position 31,Position 32,Position 33,Position 34,Position 35,Position 36,Position 37,Position 38,Position 39,Position 40,Position 41,Position 42,Position 43,Position 44,Position 45,Position 46,Position 47,Position 48,Position 49,Position 50,Position 51,Position 52,Position 53,Position 54,Position 55,Position 56,Position 57,Position 58,Position 59,Position 60,Position 61,Position 62,Position 63,Position 64,Position 65,Position 66,Position 67,Position 68,Position 69,Position 70,Position 71,Position 72,Position 73,Position 74,Position 75,Position 76,Position 77,Position 78,Position 79,Position 80,Position 81,Position 82,Position 83,Position 84,Position 85,Position 86,Position 87,Position 88,Position 89,Position 90,Position 91,Position 92,Position 93,Position 94,Position 95,Position 96,Position 97,Position 98,Position 99,Position 100,Movement,Strains
0.97155,0.98798,0.93104,0.8574,0.79519,0.78586,0.80232,0.80197,0.79611,0.78225,0.76778,0.75926,0.76335,0.77775,0.7912,0.79135,0.79213,0.80795,0.81432,0.80598,0.79941,0.78574,0.76435,0.74749,0.75535,0.77525,0.78385,0.77282,0.7624,0.76974,0.76958,0.77021,0.78866,0.78911,0.77335,0.77875,0.79507,0.80265,0.80403,0.81091,0.78666,0.77895,0.79294,0.79974,0.80289,0.79068,0.76776,0.73436,0.7611,0.80156,0.79704,0.78792,0.78976,0.79161,0.7939,0.81218,0.80167,0.79209,0.8117,0.83693,0.83103,0.81799,0.80796,0.80661,0.8072,0.81331,0.83017,0.826,0.82735,0.83157,0.82871,0.82092,0.82616,0.83091,0.84777,0.83468,0.82603,0.8327,0.85206,0.83588,0.85302,0.86126,0.8497,0.85791,0.83192,0.7998,0.82376,0.83271,0.80065,0.82923,0.81851,0.76211,0.79875,0.81023,0.80875,0.82999,0.8412,0.80512,0.89877,0.99075,1,1
0.99232,0.98885,0.94216,0.85254,0.79419,0.77625,0.77113,0.75824,0.7501,0.75558,0.75005,0.76184,0.76386,0.77573,0.79395,0.80972,0.80421,0.80288,0.80816,0.80495,0.79925,0.77877,0.76821,0.76925,0.79401,0.77419,0.76092,0.77075,0.75552,0.75032,0.77388,0.79037,0.77748,0.78593,0.7865,0.7875,0.79713,0.80527,0.80462,0.79653,0.78669,0.78183,0.78122,0.7731,0.77165,0.76935,0.77941,0.79545,0.80112,0.80309,0.81276,0.80429,0.79533,0.77558,0.77123,0.78809,0.78725,0.78624,0.79351,0.7933,0.81011,0.83005,0.83321,0.83341,0.84511,0.84938,0.82365,0.81019,0.81913,0.82989,0.84289,0.83843,0.83927,0.82456,0.82126,0.82603,0.8421,0.84502,0.83323,0.8421,0.84891,0.84374,0.84396,0.86052,0.81857,0.84019,0.82603,0.82957,0.8492,0.81545,0.79837,0.80537,0.81829,0.79362,0.80187,0.80186,0.83054,0.89615,0.90823,1.0083,0,1
1.037,1.0118,0.96378,0.87605,0.82039,0.8008,0.78925,0.78376,0.7794,0.77678,0.77075,0.76634,0.76772,0.77707,0.80068,0.82636,0.82763,0.82419,0.82011,0.80744,0.77791,0.75469,0.74449,0.74089,0.75768,0.76776,0.76369,0.76313,0.76194,0.75615,0.76287,0.78122,0.78131,0.77041,0.78014,0.78726,0.78281,0.79918,0.8215,0.80433,0.78376,0.78253,0.77524,0.74993,0.74027,0.75069,0.76503,0.76913,0.75976,0.75731,0.77083,0.76206,0.75271,0.75651,0.78257,0.79575,0.81576,0.82563,0.83312,0.84609,0.85778,0.84855,0.83425,0.81766,0.80828,0.7991,0.77366,0.77428,0.79553,0.82076,0.82089,0.80398,0.82839,0.86671,0.86377,0.83982,0.83147,0.84356,0.82302,0.84772,0.8418,0.83027,0.82679,0.84358,0.82795,0.82,0.84511,0.80913,0.80674,0.82079,0.82702,0.83402,0.83477,0.83408,0.82769,0.8235,0.82421,0.91115,0.90888,0.9669,2,1
1.0174,1.0602,0.98536,0.86753,0.84527,0.80444,0.78811,0.80535,0.78041,0.78324,0.75285,0.75961,0.79121,0.76947,0.82308,0.82011,0.82459,0.81466,0.82042,0.80501,0.80513,0.75338,0.74775,0.75825,0.78357,0.75005,0.77749,0.8141,0.72627,0.73585,0.7761,0.73432,0.72448,0.77006,0.75779,0.76058,0.76438,0.77615,0.76413,0.78157,0.77624,0.75538,0.75534,0.76392,0.76305,0.75598,0.77268,0.78566,0.78544,0.77776,0.77455,0.78773,0.80016,0.80955,0.80568,0.80698,0.79627,0.80918,0.81466,0.8153,0.80786,0.82318,0.83237,0.82895,0.8201,0.80792,0.82618,0.83401,0.81644,0.81199,0.8179,0.81161,0.805,0.80074,0.80144,0.7923,0.79073,0.77429,0.81648,0.80343,0.8,0.78491,0.79266,0.78084,0.78123,0.80996,0.82693,0.8872,0.87571,0.84965,0.85733,0.84153,0.82035,0.81686,0.779,0.76509,0.80871,0.79473,0.84465,0.97449,4,1
0.97906,1.0051,0.94428,0.87239,0.8333,0.83065,0.81746,0.80061,0.78538,0.77427,0.78886,0.77828,0.77986,0.78664,0.80074,0.80368,0.80537,0.81783,0.81223,0.79104,0.77986,0.78412,0.7678,0.75933,0.76899,0.78202,0.77558,0.76121,0.74702,0.76735,0.79947,0.78585,0.77287,0.77772,0.77111,0.77306,0.78122,0.78701,0.80319,0.80389,0.78447,0.77417,0.76386,0.76857,0.77946,0.77529,0.77448,0.7869,0.78843,0.78301,0.78531,0.79127,0.79619,0.80346,0.80355,0.80397,0.80278,0.81153,0.8091,0.81035,0.81573,0.82011,0.82279,0.82804,0.82934,0.82143,0.81136,0.80204,0.80755,0.81145,0.82366,0.8314,0.82749,0.83913,0.84692,0.84618,0.8357,0.82499,0.83049,0.81511,0.85079,0.86158,0.87963,0.86825,0.86859,0.85781,0.86181,0.83455,0.77528,0.77452,0.78077,0.79515,0.78364,0.7946,0.79132,0.81643,0.85097,0.82639,0.85355,0.97813,1,1
1.0071,0.99967,0.94462,0.86868,0.81874,0.81205,0.813,0.81237,0.80849,0.79216,0.77449,0.76316,0.76664,0.78579,0.80289,0.81646,0.82373,0.83089,0.81829,0.80718,0.78594,0.77041,0.76447,0.76078,0.75529,0.75321,0.75875,0.75163,0.76984,0.78785,0.78264,0.77545,0.78292,0.78547,0.78736,0.78254,0.78549,0.78634,0.78497,0.78528,0.7816,0.78436,0.78194,0.78325,0.7821,0.78307,0.78674,0.79113,0.7733,0.77509,0.78161,0.79079,0.80234,0.79646,0.80067,0.80114,0.798,0.80274,0.80836,0.81641,0.82948,0.82949,0.82485,0.82618,0.82711,0.82458,0.81562,0.81276,0.81477,0.82483,0.83175,0.83948,0.80739,0.81903,0.82827,0.81191,0.80771,0.8211,0.82256,0.83652,0.84908,0.85652,0.81938,0.84122,0.84802,0.82954,0.84745,0.80468,0.80442,0.81932,0.79107,0.78834,0.81476,0.80602,0.79493,0.82709,0.81862,0.88885,0.95258,1.0393,2,1
1.0011,1.0422,0.96499,0.83276,0.8159,0.81785,0.806,0.82829,0.82072,0.79166,0.76394,0.74924,0.77017,0.77352,0.82305,0.82966,0.82885,0.82274,0.82227,0.8102,0.79738,0.78045,0.74709,0.74243,0.76234,0.75405,0.75511,0.77576,0.73793,0.73134,0.75914,0.76924,0.75233,0.78069,0.79419,0.7846,0.77897,0.79733,0.78768,0.78183,0.78045,0.77899,0.79037,0.77972,0.77056,0.75593,0.76877,0.77356,0.7595,0.76328,0.78183,0.80096,0.80651,0.80127,0.78554,0.80359,0.82734,0.82466,0.81865,0.81182,0.80952,0.82076,0.826,0.81639,0.81102,0.81446,0.82007,0.82549,0.83389,0.83713,0.82712,0.81987,0.82467,0.82453,0.81923,0.8084,0.81082,0.8084,0.81296,0.83582,0.83753,0.82541,0.81188,0.80219,0.79988,0.81568,0.84721,0.84556,0.83502,0.822,0.81341,0.81735,0.82197,0.83211,0.82852,0.82264,0.82888,0.86786,0.89594,1.0021,0,1
0.97905,0.98985,0.90637,0.85564,0.79758,0.77677,0.78769,0.7879,0.79047,0.76509,0.77298,0.77089,0.7741,0.79488,0.78956,0.80244,0.79826,0.80212,0.78748,0.79278,0.78081,0.7822,0.77215,0.76335,0.75186,0.7429,0.74888,0.75599,0.74156,0.74109,0.7547,0.76075,0.76531,0.7761,0.7865,0.76569,0.78306,0.8031,0.78309,0.76253,0.76899,0.7904,0.79238,0.79379,0.79621,0.79461,0.77447,0.75981,0.76511,0.77778,0.78969,0.79574,0.77472,0.75741,0.77498,0.79254,0.79088,0.785,0.80274,0.8141,0.81824,0.81948,0.8258,0.82374,0.80812,0.81408,0.81786,0.81258,0.80586,0.81067,0.80961,0.81283,0.81078,0.81804,0.81702,0.81724,0.82438,0.84171,0.85177,0.85934,0.8521,0.84501,0.82235,0.81497,0.81936,0.80312,0.78602,0.77699,0.80424,0.81528,0.79777,0.7792,0.7812,0.79573,0.79699,0.80508,0.80619,0.8592,0.9583,1.0301,1,1
1.0835,1.0037,0.92377,0.86228,0.81424,0.80421,0.82787,0.81248,0.78405,0.7848,0.75936,0.75698,0.7702,0.79408,0.81643,0.80926,0.82096,0.82838,0.82068,0.79979,0.79258,0.76572,0.76699,0.77163,0.78421,0.7707,0.76929,0.77361,0.7576,0.76857,0.79907,0.79313,0.79188,0.79886,0.7941,0.79,0.79071,0.79843,0.79998,0.8077,0.8055,0.80254,0.81219,0.80341,0.78166,0.77396,0.76924,0.77406,0.76818,0.76772,0.77519,0.76822,0.78037,0.79522,0.79787,0.80337,0.8027,0.80558,0.80869,0.80953,0.81327,0.80487,0.81522,0.82172,0.82882,0.84287,0.83904,0.81877,0.81617,0.82127,0.82992,0.82357,0.82506,0.82587,0.82874,0.81845,0.83753,0.85071,0.84588,0.84628,0.84994,0.8716,0.86098,0.85008,0.8216,0.83927,0.82246,0.79821,0.82534,0.82332,0.83371,0.82871,0.82299,0.79735,0.79615,0.79133,0.79782,0.85861,0.90355,0.99537,0,1
1.0649,1.0295,0.96231,0.88442,0.81429,0.79082,0.81304,0.81021,0.79774,0.80633,0.77525,0.77571,0.76929,0.78615,0.79039,0.79919,0.80728,0.81716,0.82062,0.80882,0.80431,0.76934,0.7659,0.7761,0.7844,0.75539,0.7584,0.77833,0.77872,0.77631,0.78467,0.77127,0.77579,0.77435,0.78551,0.788,0.78887,0.78926,0.78414,0.79533,0.79514,0.77712,0.7669,0.76743,0.77152,0.7887,0.80502,0.80896,0.79827,0.78362,0.7791,0.79798,0.80277,0.79019,0.78542,0.80592,0.82059,0.82682,0.82387,0.8163,0.81474,0.81657,0.83036,0.83796,0.83117,0.83372,0.83751,0.82963,0.82738,0.83175,0.81984,0.80623,0.81305,0.82461,0.83379,0.83694,0.83134,0.81977,0.82698,0.83537,0.82418,0.82566,0.83944,0.84795,0.83657,0.82286,0.79486,0.79552,0.82064,0.82858,0.85296,0.83863,0.81838,0.82982,0.83897,0.82723,0.84511,0.86962,0.87807,0.94463,1,1
