condition,std_dev,mean_R,experiment
Baseline,0.007797347,NaN,tbuooh_fit
Baseline,0.01955181,NaN,tbuooh_fit
Baseline,0.020704273,NaN,tbuooh_fit
Baseline,0.027840012,NaN,tbuooh_fit
Baseline,0.016226434,NaN,tbuooh_fit
Baseline,0.012430139,NaN,tbuooh_fit
Baseline,0.015444544,NaN,tbuooh_fit
Baseline,0.013064073,NaN,tbuooh_fit
Baseline,0.017430694,NaN,tbuooh_fit
Baseline,0.017438042,NaN,tbuooh_fit
Baseline,0.014372486,NaN,tbuooh_fit
Baseline,0.018006462,NaN,tbuooh_fit
Baseline,0.00878239,NaN,tbuooh_fit
Baseline,0.017108667,NaN,tbuooh_fit
Baseline,0.014201095,NaN,tbuooh_fit
Baseline,0.010049905,NaN,tbuooh_fit
Baseline,0.01412007,NaN,tbuooh_fit
Baseline,0.016771347,NaN,tbuooh_fit
Baseline,0.009555864,NaN,tbuooh_fit
Baseline,0.018462973,NaN,tbuooh_fit
Baseline,0.016711456,NaN,tbuooh_fit
Baseline,0.012319522,NaN,tbuooh_fit
Baseline,0.012747237,NaN,tbuooh_fit
Baseline,0.01458059,NaN,tbuooh_fit
Baseline,0.011015513,NaN,tbuooh_fit
Baseline,0.01733406,NaN,tbuooh_fit
Baseline,0.014727476,NaN,tbuooh_fit
Baseline,0.017878183,NaN,tbuooh_fit
Baseline,0.010422247,NaN,tbuooh_fit
Baseline,0.013618522,NaN,tbuooh_fit
Baseline,0.01021713,NaN,tbuooh_fit
Baseline,0.014516655,NaN,tbuooh_fit
Baseline,0.007053912,NaN,tbuooh_fit
Baseline,0.010278469,NaN,tbuooh_fit
Baseline,0.013570379,NaN,tbuooh_fit
Baseline,0.013129502,NaN,tbuooh_fit
Baseline,0.017866488,NaN,tbuooh_fit
Baseline,0.01225164,NaN,tbuooh_fit
Baseline,0.016742837,NaN,tbuooh_fit
Baseline,0.011365493,NaN,tbuooh_fit
Baseline,0.013423205,NaN,tbuooh_fit
Baseline,0.015007883,NaN,tbuooh_fit
Baseline,0.012798524,NaN,tbuooh_fit
Baseline,0.015756074,NaN,tbuooh_fit
Baseline,0.014681592,NaN,tbuooh_fit
Baseline,0.009420595,NaN,tbuooh_fit
