,,,,,
386,839.48,746.35,696.27,627.21,576.94
386.5,842.8,749.91,698.1,629.35,579.59
387,845.58,754.59,699.19,631.55,582.15
387.5,848.27,759.2,701.21,633.37,584.34
388,850.73,761.96,704.37,635.59,586.77
388.5,852.96,763.87,707.86,638.62,588.23
389,853.93,765.21,710.31,642.6,588.97
389.5,854.92,766.55,712.07,645.6,590.25
390,857.17,768.64,713.58,647.41,593.21
390.5,860.25,770.71,714.94,648.28,596.97
391,862.49,771.56,716.5,649.12,599.4
391.5,863.36,771.25,717.89,650.04,600.69
392,863.7,772.09,718.91,651.01,600.99
392.5,864.52,774.24,719.33,652.55,601.08
393,865.49,776.22,720.15,654.23,601.53
393.5,866.63,776.64,721.26,655.64,602.28
394,866.84,776.73,722.27,656.2,602.88
394.5,865.27,776.81,722.25,656.41,603.55
395,862.92,777.02,722.74,656.67,605.1
395.5,862.33,776.39,723.71,656.69,606.87
396,863.29,774.49,724.1,656.84,607.82
396.5,863.16,771.92,722.78,656.66,607.2
397,860.88,770.43,721.22,655.87,606.14
397.5,857.16,769.72,720.46,654.16,605.09
398,853.81,767.3,719.83,652.28,604.06
398.5,850.34,762.34,717.39,650.73,603.18
399,846.41,757.49,713.15,649.24,601.83
399.5,841.74,755.29,709.11,647.31,599.82
400,836.71,753.56,706.15,644.98,597.37
400.5,831.85,750.6,704.03,642.8,594.91
401,826.64,746.13,700.9,640.33,592.77
401.5,821.08,742.23,697.1,637.03,590.32
402,814.37,738.11,693.2,633.25,588.12
402.5,808.12,733.65,689.5,629.34,585.16
403,801.56,728.28,684.46,625.95,582.14
403.5,795.61,722.84,678.89,622.16,578.55
404,789.47,716.75,673.18,618.26,575.76
404.5,783.55,710.6,668.46,614.54,573.31
405,776.64,704.28,663.55,610.52,570.97
405.5,769.58,698.57,658.08,605.69,567.89
406,762.18,693.24,651.95,600.5,564.49
406.5,755.55,688.49,646.65,596.49,560.9
407,749.67,683.89,642.29,593.86,557.37
407.5,743.52,678.23,637.93,591.33,553.9
408,735.4,671.3,632.45,587.42,549.62
408.5,726.08,663.62,626.34,581.99,545.09
409,717.71,656.75,620.82,576.26,540.47
409.5,710.75,650.33,615.22,570.24,535.86
410,702.98,643.41,608.65,563.77,530.77
410.5,693.64,634.63,601.04,556.79,526.07
411,684.61,626.31,593.94,551.02,521.46
411.5,676.79,619.08,587.7,546.73,517.65
412,668.41,612.32,582.09,542.93,513.5
412.5,658.75,604.53,575.9,538.33,508.68
413,648.56,596.56,569.36,532.62,503.49
413.5,639.24,588.82,562.82,526.84,499.2
414,630.5,581.4,556.63,521.37,495.8
414.5,621.43,573.45,549.85,516.09,492.34
415,611.07,565.35,542.21,510.31,486.98
415.5,599.81,557.15,534.59,504,480.59
416,588.52,548.25,527.27,497.67,474.67
416.5,578.53,539.54,519.7,492.1,470.34
417,569.33,531.4,511.21,486.41,466.55
417.5,559.73,523.56,502.93,480.64,462.47
418,548.69,514.98,495.08,474.3,456.41
418.5,537.65,506.32,487.81,468.24,450.02
419,526.81,497.6,480.31,461.89,444.15
419.5,516.08,488.85,473.15,455.72,439.84
420,504.45,479.69,465.79,448.75,435.5
420.5,492.75,470,458.18,441.96,430.33
421,481.85,460.91,450.28,435.38,424.09
421.5,471.51,452.31,442.98,429.48,418.15
422,460.51,444.22,435.28,423.33,412.5
422.5,448.22,434.93,426.82,416.45,406.7
423,435.49,424.74,417.89,409.02,400.97
423.5,423.54,414.14,410.09,401.59,395.65
424,412.56,404.58,403.11,395.13,390.77
424.5,401.16,395.38,395.72,389.23,385.07
425,388.32,385.25,386.64,383.41,378.97
425.5,374.61,373.58,376.1,375.75,372.84
426,360.9,361.41,365.26,366.93,366.81
426.5,347.73,349.96,355.25,358.47,360.33
427,334.31,339.4,346.3,351.31,354
427.5,319.8,328.21,336.68,344.21,348.14
428,304.26,316.45,326.51,336.5,342.43
428.5,289.33,305.25,316.43,328.44,335.8
429,276.04,295.72,307.49,320.77,328.63
429.5,263.53,286.34,299.06,313.59,322.01
430,250.56,275.93,290.62,306.54,316.56
430.5,237.25,264.65,282.24,300.31,312.06
431,225.25,254.8,274.67,295.07,307.97
431.5,215,247.32,268.23,290.5,304.07
432,205.91,241.01,262.18,285.72,300.45
432.5,195.73,233.97,255.68,280.33,296.98
433,185.21,225.98,248.5,275.32,293.78
433.5,175.32,218.63,241.92,271.42,291.09
434,167.76,212.56,236.81,267.94,288.97
434.5,160.53,206.96,232.98,264.15,286.9
435,152.72,200.84,229.31,260.53,284.24
435.5,144.4,194.92,225.13,257.72,281.57
436,137.37,189.97,220.62,255.37,279.78
436.5,131.51,186.17,216.81,253.11,279.33
437,126.07,182.39,214.01,250.98,278.91
437.5,120.3,178.3,211.65,249.3,278.38
438,114.51,173.98,209.19,248.14,277.62
438.5,109.53,170.62,206.71,247.55,277.55
439,105.58,168.79,204.8,247.56,277.97
439.5,102.24,167.4,203.68,247.52,279.11
440,98.743,165.89,203.22,247.54,280.49
440.5,95.222,164.01,202.85,247.76,281.52
441,92.045,162.55,202.44,248.61,282.24
441.5,89.77,161.34,202.19,249.52,283.25
442,87.999,160.73,202.31,250.63,284.92
442.5,86.542,160.29,202.78,251.96,286.74
443,84.934,160.36,203.1,253.25,288.82
443.5,83.399,160.11,203.4,254.24,290.94
444,82.079,159.92,203.81,255.14,292.82
444.5,80.972,159.69,204.66,256.55,294.14
445,79.965,159.92,205.49,257.97,295.47
445.5,79.139,160.25,206.12,259.28,297.35
446,78.689,160.73,206.51,260.24,299.6
446.5,78.571,161.18,207.08,261.51,301.7
447,78.478,161.72,207.96,262.89,303.55
447.5,78.095,162.33,209.15,264.8,304.83
448,77.682,163.03,210.37,266.65,306.2
448.5,77.535,163.99,211.59,268.23,307.65
449,77.809,164.85,212.58,269.13,309.67
449.5,78.136,165.42,213.54,270.19,311.4
450,78.446,165.54,214.7,271.67,313.43
450.5,78.475,165.95,216.18,273.41,315.24
451,78.549,166.91,217.55,274.75,316.99
451.5,78.699,168.09,218.57,276.07,318.21
452,79.156,169.08,219.48,277.64,319.65
452.5,79.581,169.96,220.43,279.42,321.61
453,79.946,171.03,221.96,281.28,323.56
453.5,80.252,172.14,223.66,283.14,324.92
